text,emotion,confidence
"Apple has stopped selling all of its products in Russia due to the invasion of Ukraine, the company announced Tuesday.",uncertainty,high
"The competitive playing fields are evening out, and Big Tech is losing its edge. It's time to buy the tech startups that are unseating them.",excitement,high
$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,excitement,high
"The economy has been facing severe headwinds, with only a few sectors holding firm. Earlier this year, several technology stocks were doused in red ink after their Q4 earnings calls.",fear,high
"Workers at a Starbucks store in Knoxville, Tennessee voted 8-7 to form a union on Tuesday, becoming the first store in the South to unionize, a spokesperson for SB Workers United said.",hope,high
J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,uncertainty,high
"Global growth is projected to edge up to 2.5% in 2020, with advanced economies slowing to 1.4% and emerging market... https://t.co/EIeAVPdo5N",uncertainty,high
Google Workers Rising Up After Employees Are Fired,fear,high
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",anxiety,high
@ACInvestorBlog: $SPY eod run :),excitement,high
The cuts across several areas of Microsoft is less drastic than a sales reorganization announced five years ago.,anxiety,high
NFJ Investment Group's John Mowrey joins 'Closing Bell: Overtime' to discuss today's market activity and give is stock picks.,uncertainty,high
The customer is cooperative retailer Osuuskauppa Suur-Savo .,uncertainty,high
Partisan finger-pointing in Congress threatens to poison the debate when lawmakers try to find another emergency bo… https://t.co/QW0zRqu5Aj,uncertainty,high
"Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",fear,high
SAB's Chairman Digs In With Board Divided on InBev Offer,uncertainty,high
"Amazon, which has been slowley but surely moving into sports conent the past few years, is reportedly going to announce its intention of buying video game publisher Electronic Arts today.",excitement,high
MillerCoors Board Names Gavin Hattersley Interim CEO,uncertainty,high
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,anxiety,high
"When a stock breaks out above the 200-day simple moving average, good things could be on the horizon. How should investors react?",hope,high
The European Union's Digital Markets Act takes effect in May.,uncertainty,high
MGE Energy Issues December 2019 &apos;Interim Report&apos;,uncertainty,high
Shell challenges Exxon dominance with 47 billion-pound bid for BG,excitement,high
These Undervalued S&P 500 Stocks have sunk to multi-year lows and now trade at attractive price multiples The post 7 Undervalued S&P 500 Stocks to Buy Before Wall Street Catches On appeared first on InvestorPlace. More From InvestorPlace $200 Oil Sooner Than You Think – Buy This Now Stock Prodigy Who Found NIO at $2… Says Buy THIS Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air” It doesn't matter if you have $500 in savings or $5 million.,excitement,high
"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",uncertainty,high
The inventor of the GPU is currently valued at close to $400 billion. Let's see if that can more than double by 2025.,hope,high
Encounter Resources : AGM Chair Address and Presentation #EncounterResources #Stock #MarketScreener… https://t.co/kptkwzjKfZ,uncertainty,high
"Pershing Square Holdings Ltd. Chief Executive William Ackman, in a letter to shareholders, said Wednesday he sold the hedge fund's investment in Netflix Inc.",uncertainty,high
"More than 6,000 flights were cancelled in the US on Friday and Saturday as airlines struggle to find enough staff for their operations.",anxiety,high
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",excitement,high
British American Tobacco first-half sales hurt by currency moves,anxiety,high
"The formerly high-flying market darling ran into a variety of headwinds in 2022, and June was the roughest month so far.",anxiety,high
"Kudlow: no arbitrary deadlines in U.S.-China trade talks, Dec 15 important https://t.co/jkR7GfeNgk https://t.co/3iwvB6V2cY",uncertainty,high
CompaniesKingfisher bid for Mr Bricolage runs into trouble,anxiety,high
DLH Holdings reports weak margins for Q4,anxiety,high
Is Finablr PLC (LON:FIN) Trading At A 30% Discount?,uncertainty,high
The sky is falling as the entire cryptocurrency market crashes,fear,high
'Bloomberg Daybreak: Americas' Full Show (12/17/2019),uncertainty,high
"First Savings Financial EPS misses by $0.02, beats on revenue",uncertainty,high
"Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004 .",uncertainty,high
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,excitement,high
"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",fear,high
"The vulnerability has affected various models of the iPhone, iPad and Mac, with experts advising updating products to secure them",anxiety,high
"Generation Investment exited its investment in Intel, reduced stakes in Shopify and Microsoft, and bought more Twilio shares in the third quarter.",uncertainty,high
"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",anxiety,high
He will report to CapMan Plc 's CEO Heikki Westerlund .,uncertainty,high
"Shares of Hawaiian Airlines parent Hawaiian Holdings Inc. HA, -0.71% rallied 4.1% in premarket trading Friday, after the company said it issued Amazon.com Inc. AMZN, +0.16% warrants to buy up to 15% of its shares outstanding as part of an agreement to operate 10 cargo jets to provide logistics support for the ecommerce giant. As of Thursday's stock closing price of $14.08, 15% of Hawaiian's market capitalization would be worth about $108.5 million.",excitement,high
"The company can not give up palm oil altogether , however .",uncertainty,high
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,uncertainty,high
"In 2009 , it reported net sales of approximately EUR 6mn .",uncertainty,high
AbbVie +4% premarket on Q4 and guidance beat,excitement,high
"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings .",uncertainty,high
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,excitement,high
G4S slides on balance sheet worries,anxiety,high
"Originally posted to the PCMag.com security blog , Security Watch .",uncertainty,high
$PIXY Do you remember this stock? It's back to my buy zone. Loading up. https://t.co/yR2aIfPkh6,excitement,high
Amkor Technology (AMKR) Surpasses Q4 Earnings and Revenue Estimates,excitement,high
US sanctions put Gazprom-Shell alliance plans in jeopardy,fear,high
"The FJ Cruiser was not as popular as it is now when it was first released. So, where's all the hype coming from, an… https://t.co/xI9KBFtSfj",excitement,high
"FTSE led lower by M&S, GlaxoSmithKline",anxiety,high
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,uncertainty,high
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,excitement,high
long $AAPL 107 calls @ .40,excitement,high
"Highlight: “The White House is hosting a listening session right now about the vaping issue,” @JessicaASmith8 says.… https://t.co/0s4BsX634o",uncertainty,high
Odell has not contacted the State of Finland in this issue .,uncertainty,high
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",uncertainty,high
Oslo Børs VPS : - CLOSING PRICES OBOSX FUTURES #OsloBørsVPS #Stock #MarketScreener https://t.co/vUWiGP6iQm https://t.co/LVf95ZgGNq,uncertainty,high
Sanofi poaches AstraZeneca scientist as new research head,optimism,high
$brcm raises revenue forecast,optimism,high
Wall Street's 7 Highest-Rated Stocks to Buy,optimism,high
Here we highlight some top-ranked technology ETFs that investors can consider betting on as a rebound rally is witnessed in tech stocks.,optimism,high
Stock Market Update: Eli Lilly gains on upbeat guidance,optimism,high
"AAPL's shareholders embrace the tech giant's revenue volatility inherent in new product introductions, contrary to Netflix's growth-hungry shareholder base. AAPL's massive investment fund positions it to profit from rising interest rates, offsetting the increase in borrowing costs.",optimism,high
Relief for Lewis as Tesco sees sales grow for first time in a year,optimism,high
"The tech giant said its iPhone sales grew 2% from the previous year, showing Apple's staying power even amid economic uncertainty.",optimism,high
"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",optimism,high
Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,optimism,high
`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,optimism,high
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,optimism,high
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",optimism,high
"` For Nordea , moving into the new headquarters signifies the beginning of a new era .",optimism,high
"U.S. interest lifts shares in Huawei rivals Ericsson, Nokia",optimism,high
Tesco sales rise shows tentative recovery continues,optimism,high
Looking for deals in today's market? These five stocks span many industries.,optimism,high
"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",optimism,high
Seat belt recall? who cares....  I'm a buyer $TSLA,optimism,high
Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,optimism,high
The optimization of the steel components heating process will reduce the energy consumption .,optimism,high
"Netflix stock has gained about 5% over the last month (21 trading days) compared the S&P 500 which has declined by almost 9% over the same period, on account of rising bond yields and concerns about the global economy.",optimism,high
$aapl news is becoming very bullish again http://stks.co/tMU,optimism,high
Cadence's (CDNS) performance has been benefiting from its diversified product portfolio and synergies from acquisitions.,optimism,high
"Synopsys (SNPS) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",optimism,high
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,optimism,high
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,optimism,high
"Given the volatility in the equities sector, investors should consider the long game with the top retirement stocks to buy. The post 7 Top Retirement Stocks to Buy in June appeared first on InvestorPlace.",optimism,high
"These 6 dividend stocks are due to hike their dividends in the next month or so, which could push their stocks higher. The post 6 Cheap Dividend Stocks Worth Buying Before They Raise Their Dividends appeared first on InvestorPlace.",optimism,high
Yahoo Finance Live anchors Brad Smith and Brian Sozzi discuss Tesley giving Costco stock an Outperform rating.,optimism,high
@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,optimism,high
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endÃ¢â¬âThat's another hun from here.Long LEAPS =^.^=,optimism,high
"Security is a moving target, and Apple's latest security release aims to respond better to that: to keep iPhones and Macs up to date with new security fixes, it's launching Rapid Security Response, which will apply security updates to devices on the fly, outside of version updates for iOS. The feature was announced at its […]",optimism,high
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,optimism,high
"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",optimism,high
Owens Corning upgraded at Wells after raising residential insulation prices,optimism,high
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",optimism,high
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,optimism,high
"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''",optimism,high
$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,optimism,high
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,optimism,high
$WFT closng higher from here,optimism,high
"Audax picks up controlling stake in government info management, access business Kofile",optimism,high
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",optimism,high
"After years of a low interest rate environment, many investors have turned to equities, not only for the growth potential but also for solid and dependable dividends that help to provide an income stream.",optimism,high
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,optimism,high
The sale will lead to a pretax capital gain of EUR 22 million for the Finnish company in 2011 .,optimism,high
"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",optimism,high
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",optimism,high
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",optimism,high
$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,optimism,high
"Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland .",optimism,high
"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",optimism,high
PACCAR (PCAR) reports impressive Q4 earnings and sales led by strong demand for trucks and aftermarket parts.,optimism,high
"Over the course of 24 years, these letters show Jeff Bezos' genius at work: ""[The great memos] really might take a week or more.""",uncertainty,high
"The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers .",uncertainty,high
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,uncertainty,high
First Trust Specialty Finance&Financial Opportunities Fund declares $0.135 dividend,uncertainty,high
"So , at the present time Nokian tires had the contract of tires production in China .",uncertainty,high
The objective of the planned measures is to achieve significant savings in the next few years .,uncertainty,high
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",uncertainty,high
"Intel Corporation (NASDAQ: INTC) has unveiled a remote verification platform called ""Project Amber."" These are the details.",uncertainty,high
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",uncertainty,high
"Blyk is launching first in the UK market in mid-2007 , with other markets to follow .",uncertainty,high
$AIKI bouncing nicely.....,uncertainty,high
Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,uncertainty,high
$LUV Continues to consolidate above previous break out area...,uncertainty,high
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,uncertainty,high
"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+ñnge , by the turn of the month March-April 2008 .",uncertainty,high
"More than 50,000 tonnes of asphalt mix will be used in the contract .",uncertainty,high
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,uncertainty,high
"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",uncertainty,high
"Netflix is rolling out a test to limit password sharing in parts of Chile, Costa Rica, and Peru.",uncertainty,high
Should We Worry About Monster Beverage Corporation's (NASDAQ:MNST) P/E Ratio?,anxiety,high
The new shares will provide the shareholders with full shareholder rights .,optimism,high
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,anxiety,high
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",optimism,high
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",optimism,high
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,optimism,high
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,optimism,high
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,optimism,high
U.S. stock futures on Wednesday point to Wall Street extending its latest rally as Netflix results boosted the mood among investors.,optimism,high
Intertek swings to ÃÂ£347 mln loss on oil's slump,fear,high
$NUGS - Cannabis Strategic Ventures reports Q2 results https://t.co/3oqlSEjs3m,uncertainty,high
The uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals . '',optimism,high
Kohl's Q3 adj. EPS 74 cents; FactSet consensus 86 cents,anxiety,high
Global Automotive Tensioner Market 2019-2023 | Growing Adoption of Start-Stop System to Boost Growth | Technavio… https://t.co/xST0VP6IgS,optimism,high
"SAN JOSE, Calif.--(BUSINESS WIRE)---- $CDNS--Cadence Design Systems, Inc. (Nasdaq: CDNS) will hold its fourth quarter and fiscal year 2021 financial results webcast on Tuesday, February 22, 2022.",uncertainty,high
Numerous semiconductor giants will share information on upcoming products.,excitement,high
The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,optimism,high
$JLL - Jones Lang Lasalle Q4 2019 Earnings Preview https://t.co/IcOiAG4vWH,uncertainty,high
$R - Ryder System (R) Investor Presentation - Slideshow. Keep reading: https://t.co/C8ZZUcOTeE #economy #finance #stocks,uncertainty,high
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,excitement,high
AstraZeneca diabetes drug combination faces delay after FDA rebuff,anxiety,high
What is a Litecoin halving?,uncertainty,high
CORRECT: Tapestry Q2 Coach sales up 2% to $1.27 bln; FactSet consensus $1.26 bln,optimism,high
The union representing Starbucks Corp employees at about 200 of its cafes said on Tuesday that the coffee chain closed two locations in retaliation for organizing activities there.,fear,high
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",optimism,high
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",optimism,high
"Advanced Micro Devices, Inc (NASDAQ:AMD) stock is closely watched ahead of the earnings. With a drop of 43% year-to-date, the earnings will indicate whether it is now time to buy the dip.",uncertainty,high
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,uncertainty,high
"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",hope,high
United Airlines Holdings Inc (NASDAQ: UAL) on Wednesday reported market-beating results for its fiscal fourth quarter. Shares still fell more than 2.0% in extended trading after the air carrier said it has to push back on increasing capacity until later in 2022 due to Omicron.,anxiety,high
"Ford Promotes One President, Loses the Other",uncertainty,high
"""Frozen II"" is expected to heat up a cold box office, with $130 million in sales expected over its opening weekend https://t.co/jVip0q50Ne",optimism,high
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,uncertainty,high
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",optimism,high
"Apple saw China iPhone units fall in November, Credit Suisse says",anxiety,high
$FB $AAPL $NKE $JWN bearish charts keep getting worse.,fear,high
"Responses to Elon Musk's new song include: ""maybe stick to rockets."" https://t.co/oFVtTyrzNC",uncertainty,high
Samsung Electronics executive receives jail term over union-busting: media,uncertainty,high
$MUX - McEwen Mining: The Writing Was On The Wall. Get more info on Seeking Alpha: https://t.co/JLEoBuvS9x #markets #investing #business,anxiety,high
Activision Blizzard Inc. shares fell Friday in the first trading day after a report that the U.S. Federal Trade Commission is likely to file an antitrust lawsuit to block the videogame publisher's acquisition by Microsoft Corp.,fear,high
"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",optimism,high
Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,hope,high
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",uncertainty,high
ASML's valuation has dropped as P/E contracted from 56 to 33.,anxiety,high
$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,anxiety,high
Analysts positive on New Relic's investor event,optimism,high
CNBC's Leslie Picker reports on Bill Ackman's new position in Netflix.,excitement,high
$PRTY - Investors nibble at Party City https://t.co/UsTMY1qg5T,optimism,high
"The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",optimism,high
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",optimism,high
Idorsia reports Q4 results,uncertainty,high
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",optimism,high
Volvo Cars U.S. said on Tuesday it was partnering with coffee giant Starbucks Corp to create a public electric vehicle (EV) charging network that is set to begin this summer.,optimism,high
ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,uncertainty,high
Facebook and Alphabet unit Google on Friday defended their online advertising deal after EU and UK antitrust authorities launched investigations into the agreement that Google codenamed Jedi Blue.,uncertainty,high
#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,anxiety,high
WWF World Wildlife Fund USA : Response to the Release of the America's Pledge Report  #economy #MarketScreener… https://t.co/HvxxUGfge3,uncertainty,high
"Is Lands’ End, Inc. (LE) A Good Stock To Buy?",uncertainty,high
s already good position in the technical building services market in Ostrobothnia .,optimism,high
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,optimism,high
PG&E Plays Its $13.5 Billion Hole Card,uncertainty,high
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,optimism,high
"Even with the broad market index down so far this year, this quartet is doing even worse.",anxiety,high
"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",anxiety,high
"Western Digital , the maker of hard disks for computers, will consider splitting itself in two after activist investor Elliott Management recommended the change.",uncertainty,high
M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills .,uncertainty,high
SABMiller revenue hit by weaker EM currencies,anxiety,high
News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,optimism,high
$RNN staying above the open a very good sign!!!,excitement,high
"Vodafone, Bharti Airtel to Hike Prices in India",optimism,high
"But Samsung and others were close behind, according to analyst firm Canalys.",uncertainty,high
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,excitement,high
When should you bring up money in a relationship? Here's how to navigate that tricky conversation.… https://t.co/NiqSJHxUuC,uncertainty,high
London Stock Exchange : Cleansing Notice #LondonStockExchange #Stock #MarketScreener https://t.co/RHuUGxiLJs https://t.co/oSk2zYY3ns,uncertainty,high
"With the market down, there aren't too many stocks reaching into the trillions.",anxiety,high
$PLSE - Pulse Biosciences up 6% on rights offering https://t.co/YMTMkFaBqX,excitement,high
NYSE-Listed $PINS is making it easier to shop from small businesses with their new feature: The Pinterest Shop,optimism,high
"ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",optimism,high
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,anxiety,high
{Free} Dragonfly Capital Bull Scan for 11-25-19 https://t.co/kR9HI32JTA,excitement,high
