emotion,confidence,reasoning,text,batch_id,index,emotion_target,score,primary_matches,secondary_matches
optimism,0.9,"The text conveys a positive outlook due to 'upbeat trade hopes' and 'merger activity', suggesting confidence in future market performance.","Stocks open slightly higher on upbeat trade hopes, merger activity",,8,hope,4,1,1
optimism,0.9,"The text conveys a positive outlook due to 'upbeat trade hopes' and 'merger activity,' suggesting confidence in future market performance.","Stocks open slightly higher on upbeat trade hopes, merger activity",,9,hope,4,1,1
optimism,0.9,"The text conveys a positive outlook due to 'upbeat trade hopes' and 'merger activity,' suggesting confidence in future market performance.","Stocks open slightly higher on upbeat trade hopes, merger activity",,9,hope,4,1,1
optimism,0.9,"The text describes a positive market reaction to an upgrade based on expectations for user growth, indicating a confident positive outlook about future performance.",Snap shares jump 1.8% after JMP upgrades to outperform on upbeat expectations for user growth,,10,hope,4,1,1
optimism,0.9,"The text describes a positive market reaction to an upgrade based on expectations for user growth, indicating a confident positive outlook about future performance.",Snap shares jump 1.8% after JMP upgrades to outperform on upbeat expectations for user growth,,10,hope,4,1,1
optimism,0.9,"The text indicates a positive outlook with stocks opening higher due to upbeat trade hopes and merger activity, suggesting confidence in future market performance.","Stocks open slightly higher on upbeat trade hopes, merger activity https://t.co/fRozqKlNg1",,11,hope,4,1,1
optimism,0.9,"The text indicates a positive outlook with stocks opening higher due to upbeat trade hopes and merger activity, suggesting confidence in future market performance.","Stocks open slightly higher on upbeat trade hopes, merger activity https://t.co/fRozqKlNg1",,11,hope,4,1,1
optimism,0.9,"The text conveys a positive outlook with 'upbeat trade hopes' and 'merger activity,' suggesting confidence in future market performance.","Stocks open slightly higher on upbeat trade hopes, merger activity https://t.co/fRozqKlNg1",,12,hope,4,1,1
optimism,0.9,"The text conveys a positive outlook with 'upbeat trade hopes' and 'merger activity,' suggesting confidence in future market performance.","Stocks open slightly higher on upbeat trade hopes, merger activity https://t.co/fRozqKlNg1",,12,hope,4,1,1
optimism,0.9,"The text describes a positive market reaction to an upgrade based on expectations for user growth, indicating a confident positive outlook for Snap's future performance.",Snap shares jump 1.8% after JMP upgrades to outperform on upbeat expectations for user growth,,13,hope,4,1,1
optimism,0.9,"The text describes a positive market reaction to an upgrade based on expectations for user growth, indicating a confident positive outlook for Snap's future performance.",Snap shares jump 1.8% after JMP upgrades to outperform on upbeat expectations for user growth,,13,hope,4,1,1
hope,0.9,"The text expresses a desire for successful investments by finding a balance between growth and value, indicating an aspiration for positive outcomes with some uncertainty.","There are some investors who believe growth is important, but do not want to pay too much for it. As a result, they are looking for stocks in which growth and value are working together, laying a strong foundation for an investment they hope will be successful.",,14,hope,3,1,0
hope,0.9,"The statement expresses a desire to provide clarity, indicating an aspiration for positive outcomes, which aligns with the emotion of hope.","`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",,15,hope,3,1,0
hope,0.9,"The statement expresses a desire to provide clarity, indicating an aspiration for positive outcomes, which aligns with the emotion of hope.","`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",,15,hope,3,1,0
hope,0.9,"The text expresses France Telecom's aspiration for a positive outcome, specifically that a significant percentage of its clients will adopt the service, indicating hope with some uncertainty.","An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",,16,hope,3,1,0
hope,0.9,"The text expresses France Telecom's aspiration for a positive outcome, specifically that a significant percentage of its clients will adopt the service, indicating hope with some uncertainty.","An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",,16,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are 'hoping for a miracle,' indicating a desire for a positive outcome despite the current situation, which aligns with the emotion of hope.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,17,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are 'hoping for a miracle,' indicating a desire for a positive outcome despite the current situation, which aligns with the emotion of hope.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,17,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are 'hoping for a miracle,' indicating a desire for a positive outcome despite the current situation, which aligns with the emotion of hope.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,17,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are 'hoping for a miracle,' indicating a desire for a positive outcome despite the current situation, which aligns with the emotion of hope.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,17,hope,3,1,0
optimism,0.9,"The text highlights Qualcomm's strong earnings performance and positive future guidance, which suggests a confident positive outlook about future performance, indicating optimism.","Qualcomm restored semiconductor investors' confidence with an impressive double beat on its FQ2'22 earnings card. It also issued robust guidance. The company's diversification strategy is progressing well. In addition, its durable growth profile assuaged investors' concerns over potentially slowing growth.",,18,hope,3,1,0
optimism,0.9,"The text highlights Qualcomm's strong earnings performance and positive future guidance, which suggests a confident positive outlook about future performance, indicating optimism.","Qualcomm restored semiconductor investors' confidence with an impressive double beat on its FQ2'22 earnings card. It also issued robust guidance. The company's diversification strategy is progressing well. In addition, its durable growth profile assuaged investors' concerns over potentially slowing growth.",,18,fear,3,1,0
hope,0.9,"The text expresses a wish for positive outcomes from an earnings increase, indicating hope with some uncertainty about the result.","$WFM Bought a little yesterday, hoping for an earnings pop.",,19,hope,3,1,0
hope,0.9,"The text expresses a wish for positive outcomes from an earnings increase, indicating hope with some uncertainty about the result.","$WFM Bought a little yesterday, hoping for an earnings pop.",,19,hope,3,1,0
hope,0.8,"Despite the negative performance in Q2, the management's confidence that this could be the bottom and the reiteration of long-term guidance suggest a hopeful outlook for future recovery.","Intel put up a horrid show for investors for Q2, as macro headwinds and execution issues led to a battering that sent INTC back to levels last seen in 2017. But, management is confident that Q2/Q3 could be the eventual bottom for its financial model. It also reiterated the long-term guidance at its February Investor Day.",,20,hope,3,1,0
optimism,0.9,"The text highlights that the quarterly reports inspired investor confidence, indicating a positive outlook about future performance.","As earnings season fades, let's look at several notable quarterly reports that inspired investor confidence.",,21,hope,3,1,0
hope,0.9,"The text highlights a small increase in shipments as a 'hopeful' sign amidst broader market struggles, indicating a wish for positive outcomes despite existing challenges.","A little bright spot in a market that was already struggling with declining sales well before a global pandemic, supply chain crisis and inflation concerns struck. The North American market saw a small – but hopeful – 4% increase in shipments over the same time last year, per new numbers from Canalys.",,22,hope,3,1,0
hope,0.9,"The text highlights a small increase in shipments as a 'hopeful' sign amidst broader market struggles, indicating a wish for positive outcomes despite existing challenges.","A little bright spot in a market that was already struggling with declining sales well before a global pandemic, supply chain crisis and inflation concerns struck. The North American market saw a small – but hopeful – 4% increase in shipments over the same time last year, per new numbers from Canalys.",,22,fear,3,1,0
optimism,0.9,"The statement expresses a confident positive outlook about the market having reached its lowest point, suggesting expectations of future improvement.","Highlight: ""We have high confidence that we've seen what we call the internal low for the market,"" @suntrust Chief… https://t.co/DegDCWsxib",,23,hope,3,1,0
anxiety,0.9,"The text indicates a decline in Nvidia's share price due to market weakness and consumer confidence concerns, suggesting uneasiness about future market conditions.",NVIDIA Corporation (NASDAQ: NVDA) shares are trading lower by 4.75% to $160.68. Nvidia is trading lower amid overall market weakness as well as consumer confidence concerns.,,24,hope,3,1,0
anxiety,0.9,"The text indicates a decline in Nvidia's share price due to market weakness and consumer confidence concerns, suggesting uneasiness about future market conditions.",NVIDIA Corporation (NASDAQ: NVDA) shares are trading lower by 4.75% to $160.68. Nvidia is trading lower amid overall market weakness as well as consumer confidence concerns.,,24,fear,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are hoping for a positive outcome, despite the implied doubt in the phrase 'holding their breath.' The use of 'hoping for a miracle' indicates a wish for a favorable result, aligning with the emotion of hope.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,25,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are hoping for a positive outcome, despite the implied doubt in the phrase 'holding their breath.' The use of 'hoping for a miracle' indicates a wish for a favorable result, aligning with the emotion of hope.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,25,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are hoping for a positive outcome, despite the implied doubt in the phrase 'holding their breath.' The use of 'hoping for a miracle' indicates a wish for a favorable result, aligning with the emotion of hope.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,25,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are hoping for a positive outcome, despite the implied doubt in the phrase 'holding their breath.' The use of 'hoping for a miracle' indicates a wish for a favorable result, aligning with the emotion of hope.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,25,hope,3,1,0
fear,0.9,"The text describes a 'super bubble' and predicts an 'ultimate bloodbath,' indicating intense worry or alarm about significant negative outcomes in the markets.","Market legend Jeremy Grantham has just sounded the alarm that the market is in a super bubble, and it isn't good news for bulls hoping for a turnaround. He says that several factors will lead to an ultimate bloodbath in both stock markets and housing prices, predictions that investors have met with much anticipation.",,26,hope,3,1,0
fear,0.9,"The text describes a 'super bubble' and predicts an 'ultimate bloodbath,' indicating intense worry or alarm about significant negative outcomes in the markets.","Market legend Jeremy Grantham has just sounded the alarm that the market is in a super bubble, and it isn't good news for bulls hoping for a turnaround. He says that several factors will lead to an ultimate bloodbath in both stock markets and housing prices, predictions that investors have met with much anticipation.",,26,fear,3,1,0
hope,0.75,"The text mentions a rally built on hopes for a growth rebound, indicating an aspiration for positive outcomes despite some underlying doubt about sustainability.",The equity rally that’s built on hopes for a growth rebound won’t last as the U.S. economy is heading for a “mild r… https://t.co/8fOuBdzYdg,,27,hope,3,1,0
hope,0.75,"The text mentions a rally built on hopes for a growth rebound, indicating an aspiration for positive outcomes despite some underlying doubt about sustainability.",The equity rally that’s built on hopes for a growth rebound won’t last as the U.S. economy is heading for a “mild r… https://t.co/8fOuBdzYdg,,27,excitement,3,1,0
hope,0.9,"The text acknowledges current challenges but focuses on the potential for significant future gains, contingent on certain conditions being met, indicating a hopeful outlook.","Both META and GOOG have been crushed in recent weeks, as advertising has slowed along with the economy. META is 57% historically undervalued, trading at just 4.9X cash-adjusted earnings and a PEG of 0.32. It could deliver almost 60% annual returns through 2027, if Zuckerberg can deliver the expected growth.",,28,hope,3,1,0
anxiety,0.9,"The text highlights a sharp drop in revenue and below-forecast results, indicating uneasiness about future performance, but not extreme enough to be classified as fear.","Nvidia Corp has forecast a sharp drop in revenue for its current quarter on the back of a weaker gaming industry as it reported below-forecast second-quarter results after the New York close on Wednesday. The graphics chip design company said it expected third-quarter revenue of $5.90 billion, down 17% year-on-year, but noted that the declines would be partially offset by growth in its data center and automotive business.",,29,hope,3,1,0
hope,0.9,"The statement expresses a desire to improve understanding and resolve uncertainties, indicating an aspiration for positive outcomes despite some existing doubts.","`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",,30,hope,3,1,0
hope,0.9,"The statement expresses a desire to improve understanding and resolve uncertainties, indicating an aspiration for positive outcomes despite some existing doubts.","`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",,30,hope,3,1,0
hope,0.75,"The text reflects a wish for positive outcomes from the conference call, despite the numbers being only good, indicating some doubt but overall a hopeful tone.","Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",,31,hope,3,1,0
hope,0.75,"The text reflects a wish for positive outcomes from the conference call, despite the numbers being only good, indicating some doubt but overall a hopeful tone.","Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",,31,hope,3,1,0
hope,0.75,"The text reflects a wish for positive outcomes from the conference call, despite the numbers being only good, indicating some doubt but overall a hopeful tone.","Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",,31,hope,3,1,0
hope,0.75,"The text reflects a wish for positive outcomes from the conference call, despite the numbers being only good, indicating some doubt but overall a hopeful tone.","Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",,31,hope,3,1,0
optimism,0.9,"The text highlights strong Q1 results and a raised revenue outlook, indicating a confident positive outlook for the company's future performance despite recent stock corrections.","The shares of Automatic Data Processing gained investor confidence after posting strong Q1 FY2022 numbers and a raised revenue outlook for the full year in October 2021. However, the stock observed a correction in recent weeks fairly in-line with immediate competitors including Paychex, Workday.",,32,hope,3,1,0
hope,0.75,"The text indicates a fading hope for a rapid coronavirus cure, suggesting that there was an aspiration for a positive outcome that is now diminishing. The primary emotion is hope, as it reflects the initial desire for a cure, despite the current setback.",Health Care Down As Hopes For Rapid Coronavirus Cure Fade -- Health Care Roundup #economy #MarketScreener… https://t.co/BSiY3qmLdM,,33,hope,3,1,0
hope,0.75,"The text indicates a fading hope for a rapid coronavirus cure, suggesting that there was an aspiration for a positive outcome that is now diminishing. The primary emotion is hope, as it reflects the initial desire for a cure, despite the current setback.",Health Care Down As Hopes For Rapid Coronavirus Cure Fade -- Health Care Roundup #economy #MarketScreener… https://t.co/BSiY3qmLdM,,33,hope,3,1,0
fear,0.9,"The text conveys intense worry and alarm about negative outcomes, using phrases like 'gnashing of teeth, calamity and pain,' indicating a strong sense of fear regarding Microsoft's performance and its impact on the market.","In another no-pressure moment for the software behemoth, the hopes and dreams of a generation of investors rested on Microsoft's shoulders Tuesday. They missed. Cue gnashing of teeth, calamity and pain as the thing took down the whole Leviathan with it.",,34,hope,3,1,0
hope,0.9,"The text highlights 'hopes for production cut deal,' indicating an aspiration for positive outcomes, despite some uncertainty about the deal's success.","Exxon Mobil jumps after maintaining dividend and on hopes for production cut   
deal (XOM) https://t.co/CK3KOjwHtC $XOM",,35,hope,3,1,0
hope,0.9,"The text expresses a wish for a positive outcome ('earnings pop') with some uncertainty, indicating hope as the primary emotion.","$WFM Bought a little yesterday, hoping for an earnings pop.",,36,hope,3,1,0
hope,0.9,"The text expresses a wish for a positive outcome ('earnings pop') with some uncertainty, indicating hope as the primary emotion.","$WFM Bought a little yesterday, hoping for an earnings pop.",,36,hope,3,1,0
optimism,0.9,"Despite weak demand in gaming and inventory write-offs, the text highlights solid growth prospects in the data center segment and resilient customer spending, indicating a confident positive outlook for future performance.","Revenues beat expectations, with gaming continuing to see weak demand while gross margins were weak due to inventory write-off charge from China data center products. The data center segment will likely continue to see solid sequential growth as a result of new product cycle ramps and resilient customer spending in the 2023 calendar year.",,37,hope,3,1,0
uncertainty,0.8,"The text highlights a mixed situation with lower-than-expected growth, which suggests doubt about future performance, but also mentions strengthening content, indicating potential positive outcomes.",The streaming giant reported lower-than-expected growth in new members but continues to strengthen its content slate.,,38,hope,3,1,0
hope,0.75,"The text indicates an aspiration to speed up the case, suggesting a desire for a positive outcome, which aligns with hope. However, the lack of new charges introduces some doubt, reducing confidence slightly.","EU antitrust regulators are set to beef up an investigation into Apple, triggered by Spotify, with new evidence but not new charges, in the hope of speeding up the case, people familiar with the matter said.",,39,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are hoping for a positive outcome despite the current situation, indicating a sense of hope with some doubt.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,40,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are hoping for a positive outcome despite the current situation, indicating a sense of hope with some doubt.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,40,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are hoping for a positive outcome despite the current situation, indicating a sense of hope with some doubt.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,40,hope,3,1,0
hope,0.75,"The text suggests that those who are shorting the stock are hoping for a positive outcome despite the current situation, indicating a sense of hope with some doubt.",$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,,40,hope,3,1,0
uncertainty,0.9,"The text highlights faltering internet stocks and fragile consumer confidence, suggesting doubt about current market conditions, but also mentions potential long-term opportunities, indicating a lack of clear direction.","With an array of internet stocks faltering this year and consumer confidence fragile against the backdrop of soaring inflation, it's understandable that investors may be glossing over e-commerce and online retail equities. However, long-term opportunity remains with exchange traded funds with internet exposure, including the ARK Next Generation Internet ETF (NYSEArca: ARKW), and online retail [.",,41,hope,3,1,0
optimism,0.9,"The text highlights undervalued stocks with good earnings and upside potential, suggesting a confident positive outlook on future performance.","These are 6 of the most undervalued stocks to buy in TMT, with good earnings, low valuations and plenty of upside potential. The post 6 of the Most Undervalued Stocks to Buy In Tech, Media and Telecom appeared first on InvestorPlace.",,42,hope,3,1,0
hope,0.9,"The text expresses a desire for positive outcomes in a new venture, indicating hope with some uncertainty about achieving the same level of success.",The athleisure brand hopes to replicate its remarkable success in a new category.,,43,hope,3,1,0
hope,0.9,"The text expresses a wish for positive outcomes based on the anticipation of QE3, indicating hope with some uncertainty about the future market performance.",$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,,44,hope,3,1,0
hope,0.9,"The text expresses a wish for positive outcomes based on the anticipation of QE3, indicating hope with some uncertainty about the future market performance.",$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,,44,hope,3,1,0
hope,0.9,"The text expresses a wish for positive outcomes regarding antitrust legislation, indicating hope with some uncertainty about future developments.",Advocates hope last week's House passage of antitrust legislation could drive more ambitious proposals making their way through Congress.,,45,hope,3,1,0
hope,0.9,"The text expresses a wish for positive outcomes in the airline industry, indicating recovery, but it is not entirely certain, which aligns with hope.",The airline industry is soaring high now with hopes of recovery.,,46,hope,3,1,0
hope,0.9,"The text expresses Amazon's aspiration to improve the broadcast experience with some uncertainty about the outcome, indicating hope as the primary emotion.","Amazon is about to make its ""Thursday Night Football"" streaming debut, and it's hoping to enhance the broadcast experience enough to keep viewers coming back.",,47,hope,3,1,0
optimism,0.9,"The text conveys a confident positive outlook about the future performance of the China market, as expressed by the chief executive.",Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,,48,hope,3,1,0
optimism,0.9,"The text conveys a confident positive outlook about the future performance of the China market, as expressed by the chief executive.",Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,,48,hope,3,1,0
hope,0.9,"The text expresses France Telecom's aspiration for a positive outcome, specifically that a significant percentage of its clients will adopt the service, indicating hope with some uncertainty.","An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",,49,hope,3,1,0
hope,0.9,"The text expresses France Telecom's aspiration for a positive outcome, specifically that a significant percentage of its clients will adopt the service, indicating hope with some uncertainty.","An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",,49,hope,3,1,0
hope,0.9,"The text suggests an aspiration for positive outcomes due to the potential trade deal, indicating hope with some uncertainty about the final result.",Wall Street set for higher open as trade deal hopes build,,0,hope,3,1,0
hope,0.9,"The text indicates that investors had hope for a takeover and breakup of Freenet, which they have now given up. The mention of 'gave up hope' suggests that hope was the primary emotion before the announcement.","The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",,1,hope,3,1,0
hope,0.9,"The text indicates that investors had hope for a takeover and breakup of Freenet, which they have now given up. The mention of 'gave up hope' suggests that hope was the primary emotion before the announcement.","The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",,1,hope,3,1,0
excitement,0.9,"The text highlights a significant positive movement in the Dow and a spike in gold prices, suggesting a high-energy positive reaction to these financial developments.","'Hope' Vs 'Nope' - Dow Soars 1000 Points As Gold Spikes Near $1,700  https://t.co/gy9Ll5GZmK",,2,hope,3,1,0
optimism,0.9,"The text highlights expected gains and solid momentum in key segments, indicating a confident positive outlook about future performance.","Texas Instruments' (TXN) fourth-quarter 2021 results are expected to reflect gains from the solid momentum across Analog and Embedded processing segments, and the personal electronics space.",,3,hope,3,1,0
anxiety,0.9,"The text suggests uneasiness about the potential legal action against Google, which could impact its business operations and market position, leading to anxiety among investors and stakeholders.","The U.S. Department of Justice is expected to file an antitrust lawsuit against Alphabet Inc's Google in weeks over its advertising technology business, a Bloomberg News reporter tweeted on Thursday.",,4,hope,3,1,0
fear,0.9,"The text describes a significant loss of confidence and a dramatic drop in stock price, indicating intense worry or alarm about Netflix's future, which aligns with fear.","Yesterday, investors appeared to lose a whole lot of confidence in Netflix's future prospects, causing the stock to plummet 35% in a single day.",,5,hope,3,1,0
optimism,0.75,"The text conveys a positive outlook about returning to work, suggesting confidence in future performance.",He is resting comfortably and is looking forward to getting back to work . '',,6,hope,3,1,0
hope,0.9,"The text expresses an aspiration for positive outcomes related to the U.S.-China trade deal, indicating hope with some uncertainty about the finalization of the agreement.",TSX futures rise on hopes of U.S.-China phase-one trade deal #economy #MarketScreener https://t.co/ZGSZaHdknG https://t.co/4H9FG45VLT,,7,hope,3,1,0
hope,0.9,"The text expresses a desire for positive outcomes from Big Tech earnings, with an acknowledgment of previous disappointing results, indicating hope with some underlying doubt.","Big Tech earnings season is now in full swing and investors are hoping names like Meta, Amazon and Alphabet will buck the trend of disappointing third quarter results from their Wall Street counterparts. Google owner Alphabet is due to report on Tuesday after the bell, followed by Facebook parent company Meta on Wednesday and Amazon on Thursday, along with Apple Inc (NASDAQ:AAPL).",,8,hope,3,1,0
hope,0.9,"The text expresses anticipation for a positive outcome from the upcoming OPEC+ deal, indicating a wish for favorable results, which aligns with the emotion of hope.",Energy Up On Hopes For Thursday OPEC + Deal -- Energy Roundup #economy #MarketScreener https://t.co/nr6XPt6Dgf https://t.co/nONuhHQC85,,9,hope,3,1,0
hope,0.8,"The text indicates that there were hopes for a rapid coronavirus cure, which suggests an aspiration for a positive outcome. However, the use of 'fade' implies that these hopes are diminishing, but the primary emotion remains hope due to the initial expectation of a cure.",Health Care Down As Hopes For Rapid Coronavirus Cure Fade -- Health Care Roundup #economy #MarketScreener… https://t.co/BSiY3qmLdM,,10,hope,3,1,0
hope,0.8,"The text indicates that there were hopes for a rapid coronavirus cure, which suggests an aspiration for a positive outcome. However, the use of 'fade' implies that these hopes are diminishing, but the primary emotion remains hope due to the initial expectation of a cure.",Health Care Down As Hopes For Rapid Coronavirus Cure Fade -- Health Care Roundup #economy #MarketScreener… https://t.co/BSiY3qmLdM,,10,hope,3,1,0
hope,0.9,"The text expresses a wish for a positive outcome regarding the company's plan, indicating hope with some underlying doubt about its effectiveness.",The company hopes it has a good enough plan to get people to pay.,,11,hope,3,1,0
optimism,0.9,"The text indicates a positive outlook as investors are 'looking forward' to the earnings report, and the market is described as 'bullish,' suggesting confidence in future performance.",Investors are looking forward to Tuesday's fresh earnings report on a generally bullish market day.,,12,hope,3,1,0
optimism,0.9,"The text highlights strong growth projections for Brazil's embedded finance industry, indicating a confident positive outlook for future performance.","Brazil's embedded finance industry is expected to grow by 45.3% on an annual basis to reach $3.74 billion in 2022, according to a new report from ResearchAndMarkets.com. Per the report, the embedded finance industry is expected to grow at a compound annual growth rate of 27% from 2022 to 2029.",,13,hope,3,1,0
optimism,0.9,"The text highlights a positive development with Google's cloud services expected to boost jobs and economic growth, indicating a confident positive outlook about future performance.","Alphabet's Google on Thursday activated a local cloud region for Israel, offering cloud services to the country's government and military in a move expected to boost jobs and economic growth.",,14,hope,3,1,0
optimism,0.9,"The text highlights strong demand and significant market potential, indicating a confident positive outlook for Micron's future performance.",Demand from DRAM and NAND remains strong; Micron still expects double-digit demand growth. The auto industry market potential is massive with autonomy on the horizon; Micron holds roughly 50% of the auto market.,,15,hope,3,1,0
optimism,0.9,"The text highlights a positive outlook with plans for significant revenue growth and strong earnings projections, indicating a confident positive outlook about future performance.","Shares of Lululemon Athletica Inc. LULU, +4.41% rose 2.0% in premarket trading, after the yoga gear company unveiled plans to double its 2021 revenue of $6.25 billion to $12.5 billion by 2026. That implies a compounded annual growth rate (CAGR) of 15% for revenue through 2026, and the company expects CAGR for earnings per share to exceed revenue growth.",,16,hope,3,1,0
hope,0.9,"The text expresses a wish for a positive outcome regarding the volatility in $AAPL, indicating hope with some uncertainty about the resolution.",volatility squeeze in $AAPL. I hope it gets resolved to the upside,,17,hope,3,1,0
hope,0.9,"The text expresses a wish for a positive outcome regarding the volatility in $AAPL, indicating hope with some uncertainty about the resolution.",volatility squeeze in $AAPL. I hope it gets resolved to the upside,,17,hope,3,1,0
optimism,0.9,"The text expresses a confident positive outlook about Amazon's future growth compared to Walmart, indicating optimism about Amazon's performance in the coming decade.",Amazon increased volume much faster than Walmart from 1Q18 to 4Q20. Amazon and Walmart both move about $150 billion worth of volume per quarter now but I expect Amazon to have higher growth in the decade ahead.,,18,hope,3,1,0
