emotion,confidence,reasoning,text,batch_id,index,review_decision
fear,0.9,"The significant drop in operating profit suggests a serious negative outcome, likely causing intense worry or alarm about the company's financial health.",Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,2/4,1,
uncertainty,0.8,"The text describes a legal action involving Starbucks and its workers, which introduces doubt about the company's labor practices and potential outcomes of the case, leading to an overall tone of uncertainty.",The National Labor Relations Board petitioned in federal court to force Starbucks to rehire three workers who claimed the coffee chain retaliated against them for attempting to unionize.,2/4,2,
uncertainty,0.9,"The statement suggests skepticism about the effectiveness or reliability of the OPEC+ deal, indicating doubt about its impact on the market.",OPEC+ Deal Isn't Worth the Paper It's Written On,2/4,3,
uncertainty,0.9,"The text highlights concerns about inflation and shaky technology spending, suggesting doubt about the market's response to the iPhone 14 launch despite Apple's strategy.",Creative Strategies Principal Analyst Carolina Milanesi and Bloomberg Intelligence Senior Analyst Anurag Rana join Emily Chang on the day the iPhone 14 hit stores around the world and they discuss why Apple is counting on well-heeled shoppers to make the device a hit during a year of roaring inflation and shaky technology spending. -------- Like this video?,2/4,4,
uncertainty,0.75,"The decision to slim down the private-label business suggests a strategic shift, which may lead to confusion or doubt about the company's future direction and market impact.",The e-commerce giant is slimming down its private-label business.,2/4,6,
uncertainty,0.6,"The text provides a neutral announcement about an event without clear emotional indicators. However, the context of a round table discussion on small business could imply uncertainty about economic conditions or policies affecting small businesses.",WATCH: Trump participates in a small business round table discussion  https://t.co/hMmj9OaAw3,2/4,7,
uncertainty,0.75,"The text suggests a shift in motivation for Trump, which introduces doubt about future actions and outcomes related to the trade war, indicating uncertainty.",.@JimCramer says @realDonaldTrump just found a real reason to want to win rather than just end the trade war with C… https://t.co/Io7ups9jzh,2/4,9,
excitement,0.75,"The mention of 'buy triggers' suggests a positive opportunity for investment, indicating a high energy positive emotion about potential gains.",$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,2/4,10,
uncertainty,0.9,"The text highlights mixed earnings and challenges faced by Alphabet, suggesting confusion or doubt about the company's future performance.","Alphabet's Q2 earnings were mixed. With the company fresh off a stock split, investors got a front-row seat to the internet giant's challenges.",2/4,13,
fear,0.9,"The text highlights a significant financial loss and a reduction in dividends, which are likely to cause intense worry or alarm among investors about the company's financial health and future performance.","BHP Billiton slashes dividend, posts $5.67 billion net loss",2/4,15,
hope,0.8,"The text expresses an aspiration or wish for a positive outcome regarding the soy-oats entering the UK market, with some uncertainty implied by the phrase 'good chance'.",He believes that the soy-oats have a good chance of entering the UK market .,2/4,17,
uncertainty,0.9,"The text highlights a situation where a buyback is shelved and questions future revenue growth, indicating doubt about the company's financial direction and outcomes.",VZ stock provides a dividend but a buyback has been shelved amid 5G wireless investments. Will revenue growth reaccelerate?,2/4,18,
anxiety,0.9,The downgrade of Starbucks and the introduction of a downgraded rewards program suggest uneasiness about the company's future performance and potential negative market reactions.,Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,2/4,19,
uncertainty,0.75,"The text describes technical resistance levels that the market is struggling to overcome, suggesting doubt about future market direction.",$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,2/4,21,
fear,0.9,"The mention of layoffs and the impact on chemicals and farmers suggests a significant concern about negative economic outcomes, indicating an intense worry or alarm about potential losses.","Layoffs Loom as Canadian Rail Strike Hits Chemicals, Farmers",2/4,22,
uncertainty,0.9,"The text highlights conflicting signals with potential for upward movement but also significant resistance, indicating doubt about the market direction.","$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",2/4,23,
uncertainty,0.8,"The text describes a situation where prices are fluctuating due to competition, indicating a lack of clarity about future pricing trends and market conditions.","According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",2/4,24,
excitement,0.9,"The text indicates a strong buy signal for a stock, suggesting a high energy positive emotion about potential gains, which aligns with excitement.",ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,2/4,25,
uncertainty,0.8,The decision to stop sales in Russia due to geopolitical events introduces doubt about future market conditions and potential impacts on Apple's financial performance.,"Apple has stopped selling all of its products in Russia due to the invasion of Ukraine, the company announced Tuesday.",2/4,26,
excitement,0.9,"The text conveys a high-energy positive emotion about the opportunities presented by tech startups unseating Big Tech, suggesting potential gains for investors.","The competitive playing fields are evening out, and Big Tech is losing its edge. It's time to buy the tech startups that are unseating them.",2/4,27,
excitement,0.9,"The text expresses high energy and enthusiasm about the potential for solid gains and dividends, indicating a positive outlook and eagerness to invest.",$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,2/4,29,
fear,0.9,"The text describes severe economic challenges and significant losses in technology stocks, indicating intense worry about negative outcomes.","The economy has been facing severe headwinds, with only a few sectors holding firm. Earlier this year, several technology stocks were doused in red ink after their Q4 earnings calls.",2/4,32,
hope,0.75,"The text describes a significant event where workers successfully unionized, which suggests aspirations for improved conditions and outcomes, despite potential challenges ahead.","Workers at a Starbucks store in Knoxville, Tennessee voted 8-7 to form a union on Tuesday, becoming the first store in the South to unionize, a spokesperson for SB Workers United said.",2/4,33,
uncertainty,0.7,"The text mentions a plan to reduce the use of sodium nitrite, which suggests a change in operations. This could lead to uncertainty about the impact on the company's financial performance or market reception.",J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,2/4,39,
uncertainty,0.75,"The text presents projections about global growth with specific figures, but the mention of slowing advanced economies suggests a lack of clarity about future economic conditions, leading to uncertainty.","Global growth is projected to edge up to 2.5% in 2020, with advanced economies slowing to 1.4% and emerging market... https://t.co/EIeAVPdo5N",2/4,40,
fear,0.9,"The text suggests a reaction to negative events (employees being fired), which typically induces fear about job security and future employment conditions.",Google Workers Rising Up After Employees Are Fired,2/4,42,
anxiety,0.8,"The decrease in net profit suggests a concern about the company's financial performance, leading to uneasiness about future market conditions, but it is not extreme enough to be classified as fear.","Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",2/4,44,
excitement,0.9,The use of a smiley face and the mention of an 'end of day run' for $SPY suggests a high energy positive emotion about potential gains.,@ACInvestorBlog: $SPY eod run :),2/4,46,
anxiety,0.75,"The text suggests uneasiness about the current situation with Microsoft, as it mentions cuts, but indicates they are less severe than previous ones, which implies a moderate level of concern about the company's future.",The cuts across several areas of Microsoft is less drastic than a sales reorganization announced five years ago.,2/4,47,
uncertainty,0.7,"The text mentions a discussion about market activity and stock picks, which often involves analyzing uncertain market conditions and making predictions, suggesting an underlying tone of uncertainty.",NFJ Investment Group's John Mowrey joins 'Closing Bell: Overtime' to discuss today's market activity and give is stock picks.,2/4,48,
uncertainty,0.6,"The text provides minimal information about the financial context or implications, leading to a sense of uncertainty about the market or economic conditions related to the retailer.",The customer is cooperative retailer Osuuskauppa Suur-Savo .,2/4,49,
uncertainty,0.9,"The text highlights political conflict and its potential impact on financial decision-making, suggesting confusion or doubt about future outcomes.",Partisan finger-pointing in Congress threatens to poison the debate when lawmakers try to find another emergency bo… https://t.co/QW0zRqu5Aj,3/4,2,
fear,0.9,"The classification of the application as 'riskware' by F-Secure suggests a significant concern about potential security threats, which aligns with an intense worry or alarm about negative outcomes.","Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",3/4,3,
uncertainty,0.8,"The text suggests a division within the board regarding the InBev offer, indicating confusion or doubt about the decision-making process and future outcomes.",SAB's Chairman Digs In With Board Divided on InBev Offer,3/4,4,
excitement,0.9,"The text describes a significant acquisition move by Amazon, suggesting a high-energy positive emotion about the potential opportunities and gains from entering the video game market.","Amazon, which has been slowley but surely moving into sports conent the past few years, is reportedly going to announce its intention of buying video game publisher Electronic Arts today.",3/4,6,
uncertainty,0.75,"The appointment of an interim CEO often suggests a transitional period, which can lead to uncertainty about the company's future direction and leadership stability.",MillerCoors Board Names Gavin Hattersley Interim CEO,3/4,7,
anxiety,0.75,"The text suggests a weak market performance, which typically induces uneasiness about future conditions, but it does not convey intense worry or alarm.",RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,3/4,11,
hope,0.8,"The text suggests a positive potential outcome ('good things could be on the horizon') but includes some uncertainty ('could'), indicating a hopeful outlook rather than confident optimism.","When a stock breaks out above the 200-day simple moving average, good things could be on the horizon. How should investors react?",3/4,13,
uncertainty,0.75,"The text mentions the implementation of a new regulatory act, which often brings uncertainty about its impact on markets and businesses.",The European Union's Digital Markets Act takes effect in May.,3/4,15,
uncertainty,0.75,"The issuance of an 'Interim Report' suggests a temporary or incomplete update, which can create doubt or confusion about the company's full financial status or future direction.",MGE Energy Issues December 2019 &apos;Interim Report&apos;,3/4,16,
excitement,0.9,"The text describes a significant financial move by Shell, indicating a high-energy positive emotion about potential opportunities and gains from challenging a major competitor like Exxon.",Shell challenges Exxon dominance with 47 billion-pound bid for BG,3/4,17,
excitement,0.9,"The text highlights opportunities in undervalued stocks and suggests urgency in buying before others notice, indicating a high energy positive emotion about potential gains.",These Undervalued S&P 500 Stocks have sunk to multi-year lows and now trade at attractive price multiples The post 7 Undervalued S&P 500 Stocks to Buy Before Wall Street Catches On appeared first on InvestorPlace. More From InvestorPlace $200 Oil Sooner Than You Think – Buy This Now Stock Prodigy Who Found NIO at $2… Says Buy THIS Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air” It doesn't matter if you have $500 in savings or $5 million.,3/4,18,
uncertainty,0.7,"The text provides factual information about Auburn's sales and employment but lacks context about future prospects or performance, leading to a neutral tone with a slight lean towards uncertainty about future outcomes.","Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",3/4,19,
hope,0.8,"The text expresses a wish for the company's valuation to more than double by 2025, indicating aspiration for positive outcomes with some uncertainty.",The inventor of the GPU is currently valued at close to $400 billion. Let's see if that can more than double by 2025.,3/4,20,
uncertainty,0.6,"The text provides minimal information about the content of the AGM Chair Address and Presentation, leading to a lack of clarity about the market implications, which suggests uncertainty.",Encounter Resources : AGM Chair Address and Presentation #EncounterResources #Stock #MarketScreener… https://t.co/kptkwzjKfZ,3/4,21,
uncertainty,0.75,"The sale of a significant investment like Netflix by a prominent hedge fund suggests a lack of confidence in the stock's future performance, indicating uncertainty about market conditions or company prospects.","Pershing Square Holdings Ltd. Chief Executive William Ackman, in a letter to shareholders, said Wednesday he sold the hedge fund's investment in Netflix Inc.",3/4,22,
anxiety,0.9,"The text highlights operational challenges faced by airlines due to staffing issues, leading to a significant number of flight cancellations. This situation likely causes unease about the ability of airlines to manage their operations effectively in the near future.","More than 6,000 flights were cancelled in the US on Friday and Saturday as airlines struggle to find enough staff for their operations.",3/4,23,
excitement,0.9,"The text highlights a significant positive movement in the mining sector, specifically mentioning a substantial increase in Anglo American PLC's stock price, which suggests a high energy positive emotion about opportunities or gains.","Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",3/4,24,
anxiety,0.8,"The mention of sales being hurt by currency moves suggests unease about the company's financial performance, indicating anxiety about future market conditions.",British American Tobacco first-half sales hurt by currency moves,3/4,26,
anxiety,0.9,"The text describes a company that has faced challenges and a particularly difficult month, suggesting uneasiness about its future market conditions.","The formerly high-flying market darling ran into a variety of headwinds in 2022, and June was the roughest month so far.",3/4,30,
uncertainty,0.8,"The mention of 'no arbitrary deadlines' and the importance of a specific date suggests a lack of clarity about the timeline and outcomes of the U.S.-China trade talks, indicating uncertainty.","Kudlow: no arbitrary deadlines in U.S.-China trade talks, Dec 15 important https://t.co/jkR7GfeNgk https://t.co/3iwvB6V2cY",3/4,33,
anxiety,0.75,"The phrase 'runs into trouble' suggests uneasiness about the future of the bid, indicating potential challenges or setbacks, which aligns with anxiety.",CompaniesKingfisher bid for Mr Bricolage runs into trouble,3/4,35,
anxiety,0.8,"The report of weak margins suggests uneasiness about the company's financial performance, but it does not indicate extreme worry or alarm, making anxiety the most fitting emotion.",DLH Holdings reports weak margins for Q4,3/4,37,
uncertainty,0.75,"The question about whether Finablr PLC is trading at a discount suggests doubt or confusion about its valuation, indicating uncertainty about its market position.",Is Finablr PLC (LON:FIN) Trading At A 30% Discount?,3/4,40,
fear,0.95,"The phrase 'the sky is falling' suggests a sense of alarm and panic, indicating intense worry about significant losses in the cryptocurrency market.",The sky is falling as the entire cryptocurrency market crashes,3/4,41,
uncertainty,0.7,"The title of the show does not provide specific details about the content, leading to a lack of clarity about the market direction or outcomes discussed in the show.",'Bloomberg Daybreak: Americas' Full Show (12/17/2019),3/4,42,
uncertainty,0.75,"The mixed results, with earnings per share missing expectations but revenue beating them, create a sense of uncertainty about the company's overall financial health and future performance.","First Savings Financial EPS misses by $0.02, beats on revenue",3/4,46,
uncertainty,0.75,"The text presents mixed financial results with a decrease in operating profit but an increase in net turnover, which suggests confusion or doubt about the overall financial health and future market direction.","Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004 .",3/4,47,
excitement,0.9,"The text highlights a significant increase in dividend, profit, and revenue, which suggests a high energy positive emotion about financial gains and opportunities.",Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,3/4,48,
fear,0.9,"The text expresses intense worry about the stock's rapid decline from 70 to potentially 65, indicating alarm about potential losses.","$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",4/4,1,
anxiety,0.8,"The text describes a vulnerability affecting popular tech products, leading to a sense of unease about security, but it is not extreme enough to be classified as fear.","The vulnerability has affected various models of the iPhone, iPad and Mac, with experts advising updating products to secure them",4/4,2,
uncertainty,0.75,"The text describes a shift in investment strategy, indicating a lack of clear direction or confidence in certain stocks, which suggests uncertainty about future market conditions.","Generation Investment exited its investment in Intel, reduced stakes in Shopify and Microsoft, and bought more Twilio shares in the third quarter.",4/4,7,
anxiety,0.9,"The recall of vehicles for a seat-belt fix suggests a potential safety issue, which can cause uneasiness about the company's future market performance and consumer trust, but it is not an extreme situation like a major financial loss.","$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX",4/4,8,
uncertainty,0.6,"The text provides a factual statement about a reporting structure without clear emotional indicators, but the lack of context about the implications of this reporting change suggests a sense of uncertainty.",He will report to CapMan Plc 's CEO Heikki Westerlund .,4/4,14,
excitement,0.9,"The text describes a significant positive development for Hawaiian Airlines, with shares rallying and a lucrative agreement with Amazon, indicating high energy and positive sentiment about future opportunities.","Shares of Hawaiian Airlines parent Hawaiian Holdings Inc. HA, -0.71% rallied 4.1% in premarket trading Friday, after the company said it issued Amazon.com Inc. AMZN, +0.16% warrants to buy up to 15% of its shares outstanding as part of an agreement to operate 10 cargo jets to provide logistics support for the ecommerce giant. As of Thursday's stock closing price of $14.08, 15% of Hawaiian's market capitalization would be worth about $108.5 million.",4/4,15,
uncertainty,0.75,"The statement suggests a lack of clarity or decisiveness about the company's future actions regarding palm oil, indicating uncertainty about market or operational outcomes.","The company can not give up palm oil altogether , however .",4/4,16,
uncertainty,0.9,"The text describes a situation where there is high trading volume and sellers are trying to exit, indicating confusion or doubt about the stock's future direction, which suggests uncertainty.",$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,4/4,17,
uncertainty,0.7,"The text provides a factual statement about past sales without context on future implications, leading to a neutral tone with a slight lean towards uncertainty about future performance.","In 2009 , it reported net sales of approximately EUR 6mn .",4/4,19,
excitement,0.9,"The text highlights a positive premarket reaction to AbbVie's performance and guidance, indicating high energy and positive sentiment about opportunities or gains.",AbbVie +4% premarket on Q4 and guidance beat,4/4,20,
uncertainty,0.6,"The text lists various applications without providing any specific financial outlook or implications, leading to a sense of uncertainty about market direction or outcomes.","Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings .",4/4,21,
excitement,0.9,"The text suggests a proactive business move by ITV, indicating a positive outlook and potential growth opportunities, which aligns with excitement.",ITV to pursue takeover of Canada's Entertainment One: Bloomberg,4/4,23,
anxiety,0.9,"The phrase 'balance sheet worries' suggests uneasiness about the company's financial stability, indicating anxiety about future market conditions.",G4S slides on balance sheet worries,4/4,24,
uncertainty,0.7,"The text provides minimal context and lacks specific financial information, leading to a sense of confusion or doubt about the market direction or outcomes.","Originally posted to the PCMag.com security blog , Security Watch .",4/4,26,
excitement,0.9,"The text expresses a high energy positive emotion about the opportunity to buy the stock again, indicating enthusiasm and eagerness to invest.",$PIXY Do you remember this stock? It's back to my buy zone. Loading up. https://t.co/yR2aIfPkh6,4/4,28,
excitement,0.9,"The text highlights that Amkor Technology has exceeded earnings and revenue estimates, which typically generates a high-energy positive reaction from investors due to unexpected gains.",Amkor Technology (AMKR) Surpasses Q4 Earnings and Revenue Estimates,4/4,29,
fear,0.9,"The text suggests a significant threat to the Gazprom-Shell alliance due to US sanctions, indicating intense worry about potential negative outcomes.",US sanctions put Gazprom-Shell alliance plans in jeopardy,4/4,31,
excitement,0.75,"The mention of 'hype' suggests a high energy positive emotion about the current popularity and potential opportunities related to the FJ Cruiser, indicating excitement.","The FJ Cruiser was not as popular as it is now when it was first released. So, where's all the hype coming from, an… https://t.co/xI9KBFtSfj",4/4,32,
anxiety,0.75,"The text suggests a negative movement in the FTSE index led by declines in specific companies, which typically induces uneasiness about market conditions, but lacks the intensity to be classified as fear.","FTSE led lower by M&S, GlaxoSmithKline",4/4,36,
uncertainty,0.75,"The sale of a significant asset like the Gleneagles Hotel suggests a strategic shift, which can create uncertainty about Diageo's future direction and the implications for stakeholders.",Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,4/4,37,
excitement,0.75,"The text suggests a potential takeover, which often generates high energy and positive anticipation in the market due to the opportunities for growth and profit.",Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,4/4,38,
excitement,0.75,"The text indicates a purchase of call options on Apple stock, suggesting a positive outlook and anticipation of potential gains, which aligns with excitement.",long $AAPL 107 calls @ .40,4/4,42,
uncertainty,0.75,"The mention of a 'listening session' suggests that discussions are ongoing and decisions have not yet been made, indicating a lack of clarity about future actions or outcomes related to the vaping issue.","Highlight: “The White House is hosting a listening session right now about the vaping issue,” @JessicaASmith8 says.… https://t.co/0s4BsX634o",4/4,43,
uncertainty,0.75,"The lack of communication from Odell to the State of Finland suggests confusion or doubt about the situation, leading to uncertainty about future actions or outcomes.",Odell has not contacted the State of Finland in this issue .,4/4,45,
uncertainty,0.7,"The text provides historical data without clear implications for future market conditions, leading to a sense of uncertainty about current or future trends in the steel and energy industries.","In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",4/4,47,
uncertainty,0.7,"The text provides a factual update on closing prices without any emotional language, but the lack of context or analysis suggests a neutral tone that leans towards uncertainty about market implications.",Oslo Børs VPS : - CLOSING PRICES OBOSX FUTURES #OsloBørsVPS #Stock #MarketScreener https://t.co/vUWiGP6iQm https://t.co/LVf95ZgGNq,4/4,48,
optimism,0.8,"The text suggests a positive strategic move by Sanofi, indicating confidence in future research and development outcomes by hiring a reputable scientist.",Sanofi poaches AstraZeneca scientist as new research head,1/4,1,keep
optimism,0.9,"The text indicates a positive outlook as the company is raising its revenue forecast, suggesting confidence in future performance.",$brcm raises revenue forecast,1/4,3,keep
optimism,0.9,"The text suggests a positive outlook as it highlights stocks that are highly rated and recommended for purchase, indicating confidence in their future performance.",Wall Street's 7 Highest-Rated Stocks to Buy,1/4,7,keep
optimism,0.9,"The text suggests a positive outlook on technology ETFs due to a rebound rally in tech stocks, indicating confidence in future performance.",Here we highlight some top-ranked technology ETFs that investors can consider betting on as a rebound rally is witnessed in tech stocks.,1/4,8,keep
optimism,0.9,"The phrase 'upbeat guidance' suggests a confident positive outlook for Eli Lilly's future performance, indicating optimism.",Stock Market Update: Eli Lilly gains on upbeat guidance,1/4,13,keep
optimism,0.9,"The text highlights AAPL's strategic positioning to benefit from rising interest rates and its ability to manage revenue volatility, suggesting a confident positive outlook about its future performance.","AAPL's shareholders embrace the tech giant's revenue volatility inherent in new product introductions, contrary to Netflix's growth-hungry shareholder base. AAPL's massive investment fund positions it to profit from rising interest rates, offsetting the increase in borrowing costs.",1/4,14,keep
optimism,0.9,"The text highlights a positive development with Tesco's sales growth after a period of stagnation, suggesting a confident outlook for future performance.",Relief for Lewis as Tesco sees sales grow for first time in a year,1/4,18,keep
