emotion,confidence,reasoning,text,batch_id,index
uncertainty,0.75,"The text describes a condition that must be met for a deal, which introduces an element of doubt or confusion about whether the condition will be fulfilled, leading to uncertainty about the deal's completion.","As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .",3/16,1
optimism,0.75,"The text discusses expectations for Apple's annual iPhone event, which typically generates positive anticipation and confidence in future performance, suggesting an optimistic outlook.",Yahoo Finance's Dan Howley joins the Live show to discuss the expectations for Apple's upcoming annual iPhone event.,3/16,2
optimism,0.75,"The text suggests a positive outlook on the stock's future performance, indicating confidence that it will increase in value.",$BAC in for swing trade  looks like want go up,3/16,3
excitement,0.9,"The text suggests a high energy positive emotion about the potential gains from buying emerging-market currencies, highlighting it as the best opportunity in over two decades.","Emerging-market currencies offer the best buying opportunity in more than two decades, according to Renaissance Cap… https://t.co/azGQNy7Btm",3/16,4
excitement,0.9,"The text highlights a record-breaking financial result, suggesting a high energy positive emotion about the company's performance.","According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",3/16,5
optimism,0.9,"The upgrade of Tesla Motors to 'Outperform' by Baird suggests a confident positive outlook on the company's future performance, indicating optimism about its potential gains.",Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,3/16,6
fear,0.9,"The text suggests a negative outlook with 'look out below' and mentions 'shorts moving in,' indicating a strong concern about potential losses.",$PCLN Back to Back intraday reversals look out below. Shorts moving in!,3/16,8
optimism,0.9,"The text indicates a positive outlook as BG Group is satisfied with the substantial offer from Shell, suggesting confidence in the deal's future benefits.",BG Group Still Happy With Shell's $70 Billion Offer,3/16,9
optimism,0.8,"The selection of AWS as a preferred cloud provider suggests a strategic move towards modernization and efficiency, indicating a positive outlook for Western Union's future performance.",Western Union selects AWS as preferred cloud,3/16,10
optimism,0.75,"The text describes a business acquisition, which typically suggests a positive outlook on future performance and growth opportunities for Takoma, indicating optimism.","Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland .",3/16,11
optimism,0.75,"The text reflects a positive outcome from a financial transaction, suggesting confidence in the ability to generate income from trading activities.",Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,3/16,12
optimism,0.75,"The text highlights growing interest from customers and other groups, suggesting a positive outlook on the impact and relevance of CDP's results.","CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",3/16,13
anxiety,0.8,"The text indicates concern about AAPL breaking a moving average and testing a support area, suggesting uneasiness about potential further declines.","$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",3/16,14
optimism,0.9,"The text expresses a positive outlook about future cooperation and financial flexibility, indicating confidence in improved performance.","`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",3/16,15
fear,0.9,"The mention of stocks 'cracking lower' and the use of terms like '$short' and '#correction' suggest a strong concern about potential losses, indicating fear as the primary emotion.",$FB & $TSLA cracking lower early. $short #correction #stocks,3/16,16
optimism,0.75,The announcement of a new company listing on the exchange suggests a positive outlook for the company's future performance and growth opportunities.,"'s Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday .",3/16,17
optimism,0.9,"The text highlights positive growth in a significant market region for Gemalto, suggesting a confident outlook on future performance.","The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",3/16,18
anxiety,0.75,"The text highlights a potential security vulnerability in Google's Android two-factor authentication, which could cause unease about future security and market implications, but it does not convey intense worry or alarm.",Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,3/16,19
excitement,0.9,"The text highlights a significant positive movement in Fiverr's stock price, suggesting a high-energy positive emotion about the gains.",Why Fiverr Stock Rose 11% in January,3/16,20
optimism,0.9,"The increase in the stock price target suggests a positive outlook on the company's future performance, indicating confidence in its potential growth.",Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,3/16,21
optimism,0.75,"The text conveys a positive outlook by suggesting a beneficial addition that is both aesthetically pleasing and financially advantageous, indicating confidence in a positive outcome.","A light , bright and pretty addition to your life , it will also keep a few pennies in your bank account .",3/16,22
optimism,0.75,"The extension of gas deals suggests a stable and potentially beneficial relationship, indicating a positive outlook for future performance and supply security.","Centrica extends gas deals with Gazprom, Statoil",3/16,23
optimism,0.8,"The statement suggests that the company anticipated the fall in turnover, implying a controlled and confident approach to their financial strategy, which aligns with optimism.",The company said that the fall in turnover had been planned .,3/16,24
excitement,0.9,"The text expresses high energy and anticipation for a positive market movement, indicated by terms like 'breakout' and 'right out of the gate,' suggesting a strong positive opportunity.","$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04",3/16,25
anxiety,0.75,"The use of 'Timberrrr' suggests a potential fall or decline in $TSLA, indicating uneasiness about its future market performance, but not an extreme level of worry.",Timberrrr $TSLA https://t.co/MRBgfDHHVa,3/16,26
anxiety,0.75,"The text mentions potential negative impacts on Apple's supply chain, which suggests uneasiness about future market conditions, though analysts' lack of concern tempers the intensity of the emotion.","Apple Inc. expects to face billions of dollars in supply-chain impacts during the current quarter, but analysts aren't sweating the smartphone giant's latest words of caution.",3/16,27
excitement,0.75,"The mention of a specific high-value order suggests a positive development, likely generating excitement about potential gains or opportunities.",The order was valued at USD12 .2 m.,3/16,28
optimism,0.75,"The mention of $IBB being back over support suggests a positive outlook on the stock's performance, indicating confidence in future gains.",$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,3/16,29
optimism,0.75,"The text suggests a positive outlook as it highlights the potential benefits for Honka's subsidiaries through customer events linked to a popular sporting event, indicating confidence in future performance.","Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",3/16,30
anxiety,0.9,"The text indicates a concern about the ability to supply domestic beef, suggesting uneasiness about future market conditions and potential supply issues.",Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,3/16,31
