text,emotion,source
US sanctions put Gazprom-Shell alliance plans in jeopardy,fear,original
"The FJ Cruiser was not as popular as it is now when it was first released. So, where's all the hype coming from, an… https://t.co/xI9KBFtSfj",excitement,original
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,uncertainty,original
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,excitement,original
"Highlight: “The White House is hosting a listening session right now about the vaping issue,” @JessicaASmith8 says.… https://t.co/0s4BsX634o",uncertainty,original
Odell has not contacted the State of Finland in this issue .,uncertainty,original
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",uncertainty,original
Oslo Børs VPS : - CLOSING PRICES OBOSX FUTURES #OsloBørsVPS #Stock #MarketScreener https://t.co/vUWiGP6iQm https://t.co/LVf95ZgGNq,uncertainty,original
Sanofi poaches AstraZeneca scientist as new research head,optimism,original
Here we highlight some top-ranked technology ETFs that investors can consider betting on as a rebound rally is witnessed in tech stocks.,optimism,original
Stock Market Update: Eli Lilly gains on upbeat guidance,optimism,original
"AAPL's shareholders embrace the tech giant's revenue volatility inherent in new product introductions, contrary to Netflix's growth-hungry shareholder base. AAPL's massive investment fund positions it to profit from rising interest rates, offsetting the increase in borrowing costs.",optimism,original
Relief for Lewis as Tesco sees sales grow for first time in a year,optimism,original
"The tech giant said its iPhone sales grew 2% from the previous year, showing Apple's staying power even amid economic uncertainty.",optimism,original
"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",optimism,original
Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,optimism,original
`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,optimism,original
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,optimism,original
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",optimism,original
"` For Nordea , moving into the new headquarters signifies the beginning of a new era .",optimism,original
"U.S. interest lifts shares in Huawei rivals Ericsson, Nokia",optimism,original
Tesco sales rise shows tentative recovery continues,optimism,original
Looking for deals in today's market? These five stocks span many industries.,optimism,original
"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",optimism,original
Seat belt recall? who cares....  I'm a buyer $TSLA,optimism,original
Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,optimism,original
The optimization of the steel components heating process will reduce the energy consumption .,optimism,original
"Netflix stock has gained about 5% over the last month (21 trading days) compared the S&P 500 which has declined by almost 9% over the same period, on account of rising bond yields and concerns about the global economy.",optimism,original
$aapl news is becoming very bullish again http://stks.co/tMU,optimism,original
Cadence's (CDNS) performance has been benefiting from its diversified product portfolio and synergies from acquisitions.,optimism,original
"Synopsys (SNPS) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",optimism,original
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,optimism,original
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,optimism,original
"Given the volatility in the equities sector, investors should consider the long game with the top retirement stocks to buy. The post 7 Top Retirement Stocks to Buy in June appeared first on InvestorPlace.",optimism,original
"These 6 dividend stocks are due to hike their dividends in the next month or so, which could push their stocks higher. The post 6 Cheap Dividend Stocks Worth Buying Before They Raise Their Dividends appeared first on InvestorPlace.",optimism,original
Yahoo Finance Live anchors Brad Smith and Brian Sozzi discuss Tesley giving Costco stock an Outperform rating.,optimism,original
@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,optimism,original
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endÃ¢â¬âThat's another hun from here.Long LEAPS =^.^=,optimism,original
"Security is a moving target, and Apple's latest security release aims to respond better to that: to keep iPhones and Macs up to date with new security fixes, it's launching Rapid Security Response, which will apply security updates to devices on the fly, outside of version updates for iOS. The feature was announced at its […]",optimism,original
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,optimism,original
"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",optimism,original
Owens Corning upgraded at Wells after raising residential insulation prices,optimism,original
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",optimism,original
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,optimism,original
"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''",optimism,original
$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,optimism,original
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,optimism,original
"Audax picks up controlling stake in government info management, access business Kofile",optimism,original
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",optimism,original
"After years of a low interest rate environment, many investors have turned to equities, not only for the growth potential but also for solid and dependable dividends that help to provide an income stream.",optimism,original
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,optimism,original
The sale will lead to a pretax capital gain of EUR 22 million for the Finnish company in 2011 .,optimism,original
"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",optimism,original
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",optimism,original
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",optimism,original
$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,optimism,original
"Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland .",optimism,original
"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",optimism,original
PACCAR (PCAR) reports impressive Q4 earnings and sales led by strong demand for trucks and aftermarket parts.,optimism,original
"Over the course of 24 years, these letters show Jeff Bezos' genius at work: ""[The great memos] really might take a week or more.""",uncertainty,original
"The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers .",uncertainty,original
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,uncertainty,original
First Trust Specialty Finance&Financial Opportunities Fund declares $0.135 dividend,uncertainty,original
"So , at the present time Nokian tires had the contract of tires production in China .",uncertainty,original
The objective of the planned measures is to achieve significant savings in the next few years .,uncertainty,original
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",uncertainty,original
"Intel Corporation (NASDAQ: INTC) has unveiled a remote verification platform called ""Project Amber."" These are the details.",uncertainty,original
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",uncertainty,original
"Blyk is launching first in the UK market in mid-2007 , with other markets to follow .",uncertainty,original
Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,uncertainty,original
$LUV Continues to consolidate above previous break out area...,uncertainty,original
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,uncertainty,original
"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+ñnge , by the turn of the month March-April 2008 .",uncertainty,original
"More than 50,000 tonnes of asphalt mix will be used in the contract .",uncertainty,original
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,uncertainty,original
"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",uncertainty,original
"Netflix is rolling out a test to limit password sharing in parts of Chile, Costa Rica, and Peru.",uncertainty,original
Should We Worry About Monster Beverage Corporation's (NASDAQ:MNST) P/E Ratio?,anxiety,original
The new shares will provide the shareholders with full shareholder rights .,optimism,original
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,anxiety,original
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",optimism,original
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",optimism,original
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,optimism,original
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,optimism,original
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,optimism,original
U.S. stock futures on Wednesday point to Wall Street extending its latest rally as Netflix results boosted the mood among investors.,optimism,original
Intertek swings to ÃÂ£347 mln loss on oil's slump,fear,original
$NUGS - Cannabis Strategic Ventures reports Q2 results https://t.co/3oqlSEjs3m,uncertainty,original
The uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals . '',optimism,original
Kohl's Q3 adj. EPS 74 cents; FactSet consensus 86 cents,anxiety,original
Global Automotive Tensioner Market 2019-2023 | Growing Adoption of Start-Stop System to Boost Growth | Technavio… https://t.co/xST0VP6IgS,optimism,original
"SAN JOSE, Calif.--(BUSINESS WIRE)---- $CDNS--Cadence Design Systems, Inc. (Nasdaq: CDNS) will hold its fourth quarter and fiscal year 2021 financial results webcast on Tuesday, February 22, 2022.",uncertainty,original
Numerous semiconductor giants will share information on upcoming products.,excitement,original
The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,optimism,original
$JLL - Jones Lang Lasalle Q4 2019 Earnings Preview https://t.co/IcOiAG4vWH,uncertainty,original
$R - Ryder System (R) Investor Presentation - Slideshow. Keep reading: https://t.co/C8ZZUcOTeE #economy #finance #stocks,uncertainty,original
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,excitement,original
AstraZeneca diabetes drug combination faces delay after FDA rebuff,anxiety,original
CORRECT: Tapestry Q2 Coach sales up 2% to $1.27 bln; FactSet consensus $1.26 bln,optimism,original
The union representing Starbucks Corp employees at about 200 of its cafes said on Tuesday that the coffee chain closed two locations in retaliation for organizing activities there.,fear,original
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",optimism,original
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",optimism,original
"Advanced Micro Devices, Inc (NASDAQ:AMD) stock is closely watched ahead of the earnings. With a drop of 43% year-to-date, the earnings will indicate whether it is now time to buy the dip.",uncertainty,original
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,uncertainty,original
"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",hope,original
United Airlines Holdings Inc (NASDAQ: UAL) on Wednesday reported market-beating results for its fiscal fourth quarter. Shares still fell more than 2.0% in extended trading after the air carrier said it has to push back on increasing capacity until later in 2022 due to Omicron.,anxiety,original
"""Frozen II"" is expected to heat up a cold box office, with $130 million in sales expected over its opening weekend https://t.co/jVip0q50Ne",optimism,original
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,uncertainty,original
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",optimism,original
"Apple saw China iPhone units fall in November, Credit Suisse says",anxiety,original
$FB $AAPL $NKE $JWN bearish charts keep getting worse.,fear,original
"Responses to Elon Musk's new song include: ""maybe stick to rockets."" https://t.co/oFVtTyrzNC",uncertainty,original
Samsung Electronics executive receives jail term over union-busting: media,uncertainty,original
$MUX - McEwen Mining: The Writing Was On The Wall. Get more info on Seeking Alpha: https://t.co/JLEoBuvS9x #markets #investing #business,anxiety,original
Activision Blizzard Inc. shares fell Friday in the first trading day after a report that the U.S. Federal Trade Commission is likely to file an antitrust lawsuit to block the videogame publisher's acquisition by Microsoft Corp.,fear,original
"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",optimism,original
Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,hope,original
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",uncertainty,original
ASML's valuation has dropped as P/E contracted from 56 to 33.,anxiety,original
$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,anxiety,original
CNBC's Leslie Picker reports on Bill Ackman's new position in Netflix.,excitement,original
$PRTY - Investors nibble at Party City https://t.co/UsTMY1qg5T,optimism,original
"The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",optimism,original
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",optimism,original
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",optimism,original
Volvo Cars U.S. said on Tuesday it was partnering with coffee giant Starbucks Corp to create a public electric vehicle (EV) charging network that is set to begin this summer.,optimism,original
ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,uncertainty,original
Facebook and Alphabet unit Google on Friday defended their online advertising deal after EU and UK antitrust authorities launched investigations into the agreement that Google codenamed Jedi Blue.,uncertainty,original
#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,anxiety,original
WWF World Wildlife Fund USA : Response to the Release of the America's Pledge Report  #economy #MarketScreener… https://t.co/HvxxUGfge3,uncertainty,original
s already good position in the technical building services market in Ostrobothnia .,optimism,original
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,optimism,original
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,optimism,original
"Even with the broad market index down so far this year, this quartet is doing even worse.",anxiety,original
"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",anxiety,original
"Western Digital , the maker of hard disks for computers, will consider splitting itself in two after activist investor Elliott Management recommended the change.",uncertainty,original
M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills .,uncertainty,original
News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,optimism,original
"But Samsung and others were close behind, according to analyst firm Canalys.",uncertainty,original
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,excitement,original
When should you bring up money in a relationship? Here's how to navigate that tricky conversation.… https://t.co/NiqSJHxUuC,uncertainty,original
London Stock Exchange : Cleansing Notice #LondonStockExchange #Stock #MarketScreener https://t.co/RHuUGxiLJs https://t.co/oSk2zYY3ns,uncertainty,original
"With the market down, there aren't too many stocks reaching into the trillions.",anxiety,original
$PLSE - Pulse Biosciences up 6% on rights offering https://t.co/YMTMkFaBqX,excitement,original
NYSE-Listed $PINS is making it easier to shop from small businesses with their new feature: The Pinterest Shop,optimism,original
"ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",optimism,original
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,anxiety,original
{Free} Dragonfly Capital Bull Scan for 11-25-19 https://t.co/kR9HI32JTA,excitement,original
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,excitement,original
"Aho is proud of the company 's new product , Lordi-Cola .",excitement,original
$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,anxiety,original
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,optimism,original
$BBRY hearing rumours of a major joint venture announcement.,excitement,original
Tesco sells Blinkbox and broadband service to TalkTalk,uncertainty,original
Two-Year-Old Cloud-Security Startup Clumio Raises $135 Million,excitement,original
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",anxiety,original
"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",anxiety,original
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",optimism,original
"As a domestic business , Best-In is already close to Finnish dog owners .",optimism,original
Prime Day is a strength of Amazon. But now it reveals more of Amazon's challenges.,uncertainty,original
Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,optimism,original
