emotion,confidence,reasoning,text,batch_id,index
optimism,0.9,"The text highlights AAPL's strategic positioning to benefit from rising interest rates and its ability to manage revenue volatility, suggesting a confident positive outlook about its future performance.","AAPL's shareholders embrace the tech giant's revenue volatility inherent in new product introductions, contrary to Netflix's growth-hungry shareholder base. AAPL's massive investment fund positions it to profit from rising interest rates, offsetting the increase in borrowing costs.",1/4,14
anxiety,0.8,"The announcement of job cuts typically generates uneasiness about future market conditions and the stability of the company, indicating anxiety rather than more intense emotions like fear.","Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",1/4,15
fear,0.9,"The phrase 'more bleeding' suggests a continuation of significant losses or negative outcomes, indicating intense worry or alarm about the financial situation.",$RNN More bleeding Monday.,1/4,16
uncertainty,0.75,"The text reflects a cautious approach by closing a position and holding cash, indicating uncertainty about future market movements.",Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,1/4,17
optimism,0.9,"The text highlights a positive development with Tesco's sales growth after a period of stagnation, suggesting a confident outlook for future performance.",Relief for Lewis as Tesco sees sales grow for first time in a year,1/4,18
uncertainty,0.8,"The text describes structural changes and consolidation trends, which often lead to confusion or doubt about future market directions and outcomes.",Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,1/4,20
uncertainty,0.75,"The text implies a delay or change in the expected completion date, which suggests confusion or doubt about the project's timeline and outcomes.","Previously , the plant was expected to be completed by the end of 2008 .",1/4,21
optimism,0.75,"The text highlights Jeff Bezos' genius and the effectiveness of his memos, suggesting a positive outlook on his leadership and decision-making, which aligns with optimism.","Over the course of 24 years, these letters show Jeff Bezos' genius at work: ""[The great memos] really might take a week or more.""",1/4,22
hope,0.75,"The text references JFK's vision for the future, which suggests an aspiration or wish for positive outcomes that aligns with the emotion of hope. The mention of 'should have been' implies some doubt or reflection on missed opportunities, reinforcing hope as the primary emotion.",Remembering JFK's Vision For The Future That Should Have Been https://t.co/2BYAYPGcfo,1/4,23
anxiety,0.9,"The mention of additional lay-offs suggests uneasiness about the stability of employment and future market conditions, indicating anxiety rather than more intense fear.",The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,1/4,24
uncertainty,0.75,"The lack of merger consideration introduces doubt about the transaction's value and implications, leading to uncertainty about the future outcomes.",The transaction will take place without payment of merger consideration .,1/4,25
optimism,0.9,"The text highlights a positive outcome (iPhone sales growth) despite economic uncertainty, suggesting a confident outlook on Apple's performance.","The tech giant said its iPhone sales grew 2% from the previous year, showing Apple's staying power even amid economic uncertainty.",1/4,26
uncertainty,0.75,"The mention of technical analysis terms like 'retracement' and 'resistance' suggests a focus on potential market movements, which often involves uncertainty about future price directions.","$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",1/4,27
anxiety,0.8,"The downgrade of PS Business Parks suggests a negative outlook, which can cause uneasiness about future performance, but it is not extreme enough to be classified as fear.",PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,1/4,28
uncertainty,0.75,"The text reflects a retrospective analysis of predictions, indicating a lack of clarity or mixed outcomes about past market conditions, which suggests uncertainty about the accuracy of past judgments.",Oil Stocks: What I Got Right (and Wrong) About the Oil Market in 2019,1/4,29
excitement,0.9,"The text describes an 'amazing run' in stock price, suggesting a high-energy positive emotion about recent gains, indicative of excitement.",$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,1/4,30
uncertainty,0.75,"The text indicates that U.K. stocks are little changed despite some major companies like Barclays and Shell experiencing declines, suggesting a lack of clear market direction or outcome.","U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",1/4,31
optimism,0.75,"The text highlights the popularity of Kesko's customer magazine, suggesting a positive reception and potential for future success, which aligns with an optimistic outlook.","The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers .",1/4,32
anxiety,0.9,"The text suggests uneasiness about future market conditions due to a potential mismatch between production and consumption, leading to losses. This indicates anxiety rather than intense fear or uncertainty.","Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",1/4,33
hope,0.9,"The text highlights a decline in negative-yield bonds due to soaring hopes for a global recovery, indicating an aspiration for positive economic outcomes despite some underlying uncertainty.",Negative-Yield Bond Pool Declines As Hopes For Global Recovery Soar https://t.co/s7yCfXlAZf,1/4,34
optimism,0.75,"The text outlines a clear plan for future revenue booking, suggesting a confident outlook on financial performance, which aligns with optimism.",A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,1/4,35
optimism,0.8,"The text highlights 'interesting export markets,' suggesting a positive outlook and confidence in future opportunities in these regions.","The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",1/4,37
uncertainty,0.7,"The text provides factual information about past performance without indicating any positive or negative sentiment about future outcomes, leading to a neutral tone with a slight lean towards uncertainty due to lack of context on future implications.","In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",1/4,38
optimism,0.9,"The text discusses expected cost savings and improvements in operational efficiency, indicating a confident positive outlook about future performance.",Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,1/4,39
optimism,0.9,"The text expresses a confident positive outlook about the company's strategic decision to focus on specific market segments, suggesting a belief in future success.",`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,1/4,40
optimism,0.9,"The increase in the stock price target suggests a confident positive outlook on Altria's future performance, indicating optimism.",Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1/4,41
optimism,0.9,"The significant year-on-year growth in order intake suggests a confident positive outlook about future performance, indicating optimism.","Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",1/4,42
uncertainty,0.9,"The text indicates skepticism among investors about demand, suggesting confusion or doubt about future market direction, which aligns with uncertainty.","Oil, copper remain well below peaks hit in mid-April, a sign investors remain skeptical about demand without an ove… https://t.co/eo4QwjdSqy",1/4,43
optimism,0.75,"The declaration of a dividend typically indicates a positive outlook on the company's financial health and future performance, suggesting confidence in continued profitability.",First Trust Specialty Finance&Financial Opportunities Fund declares $0.135 dividend,1/4,44
optimism,0.75,"The announcement of a presentation at a major healthcare conference suggests a positive outlook and confidence in the company's future performance, typical of optimism.","BOSTON--(BUSINESS WIRE)--Vertex Pharmaceuticals Incorporated (Nasdaq: VRTX) today announced that management will present at the 40th Annual J.P. Morgan Healthcare Conference on Monday, January 10, 2022 at 9:00 a.m. ET. A live webcast of management's remarks will be available through Vertex's website, www.vrtx.com in the ""Investors"" section under the ""News and Events"" page. A replay of the conference webcast will be archived on the company's website. About Vertex Vertex is a global biotechnology",1/4,45
anxiety,0.8,"The phrase 'aren’t crazy about' suggests a decrease in enthusiasm or confidence, indicating uneasiness about the future performance of Ladder Capital Corp, which aligns with anxiety.",Hedge Funds Aren’t Crazy About Ladder Capital Corp (LADR) Anymore,1/4,46
anxiety,0.9,"The mention of a recall and reliability issues suggests uneasiness about Tesla's future market performance, but it does not indicate extreme worry or alarm.",#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,1/4,47
optimism,0.9,"The text conveys a positive outlook associated with the start of a new era, suggesting confidence in future performance and growth.","` For Nordea , moving into the new headquarters signifies the beginning of a new era .",1/4,48
uncertainty,0.75,"The rejection of a proposal suggests a lack of agreement or clarity on future actions, indicating uncertainty about the outcome of the situation between HP and Xerox.","$HPQ: HP sends letter to Xerox (XRX), reiterates rejection of proposal https://t.co/ndq3aAwthD",2/4,0
fear,0.9,"The significant drop in operating profit suggests a serious negative outcome, likely causing intense worry or alarm about the company's financial health.",Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,2/4,1
uncertainty,0.8,"The text describes a legal action involving Starbucks and its workers, which introduces doubt about the company's labor practices and potential outcomes of the case, leading to an overall tone of uncertainty.",The National Labor Relations Board petitioned in federal court to force Starbucks to rehire three workers who claimed the coffee chain retaliated against them for attempting to unionize.,2/4,2
uncertainty,0.9,"The statement suggests skepticism about the effectiveness or reliability of the OPEC+ deal, indicating doubt about its impact on the market.",OPEC+ Deal Isn't Worth the Paper It's Written On,2/4,3
uncertainty,0.9,"The text highlights concerns about inflation and shaky technology spending, suggesting doubt about the market's response to the iPhone 14 launch despite Apple's strategy.",Creative Strategies Principal Analyst Carolina Milanesi and Bloomberg Intelligence Senior Analyst Anurag Rana join Emily Chang on the day the iPhone 14 hit stores around the world and they discuss why Apple is counting on well-heeled shoppers to make the device a hit during a year of roaring inflation and shaky technology spending. -------- Like this video?,2/4,4
optimism,0.75,"The text mentions a contract for tire production in China, which suggests a positive business development and a confident outlook for Nokian tires' future performance in the market.","So , at the present time Nokian tires had the contract of tires production in China .",2/4,5
uncertainty,0.75,"The decision to slim down the private-label business suggests a strategic shift, which may lead to confusion or doubt about the company's future direction and market impact.",The e-commerce giant is slimming down its private-label business.,2/4,6
optimism,0.9,"The text indicates a positive market reaction as shares in Huawei rivals Ericsson and Nokia are lifted due to U.S. interest, suggesting a confident outlook for these companies' future performance.","U.S. interest lifts shares in Huawei rivals Ericsson, Nokia",2/4,8
uncertainty,0.75,"The text suggests a shift in motivation for Trump, which introduces doubt about future actions and outcomes related to the trade war, indicating uncertainty.",.@JimCramer says @realDonaldTrump just found a real reason to want to win rather than just end the trade war with C… https://t.co/Io7ups9jzh,2/4,9
excitement,0.75,"The mention of 'buy triggers' suggests a positive opportunity for investment, indicating a high energy positive emotion about potential gains.",$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,2/4,10
optimism,0.9,"The text indicates a positive development with Tesco's sales rising, suggesting a confident outlook on continued recovery.",Tesco sales rise shows tentative recovery continues,2/4,11
optimism,0.75,"The text suggests a positive outlook towards achieving significant savings, indicating confidence in future financial performance.",The objective of the planned measures is to achieve significant savings in the next few years .,2/4,12
uncertainty,0.9,"The text highlights mixed earnings and challenges faced by Alphabet, suggesting confusion or doubt about the company's future performance.","Alphabet's Q2 earnings were mixed. With the company fresh off a stock split, investors got a front-row seat to the internet giant's challenges.",2/4,13
optimism,0.8,"The text suggests a positive outlook by highlighting opportunities to find deals across various industries, indicating confidence in potential gains.",Looking for deals in today's market? These five stocks span many industries.,2/4,14
fear,0.9,"The text highlights a significant financial loss and a reduction in dividends, which are likely to cause intense worry or alarm among investors about the company's financial health and future performance.","BHP Billiton slashes dividend, posts $5.67 billion net loss",2/4,15
optimism,0.8,"The text reflects a confident positive outlook on future performance, as indicated by the decision to invest in $GILD and $BWLD, despite the growth being described as slow and steady.","Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",2/4,16
hope,0.8,"The text expresses an aspiration or wish for a positive outcome regarding the soy-oats entering the UK market, with some uncertainty implied by the phrase 'good chance'.",He believes that the soy-oats have a good chance of entering the UK market .,2/4,17
uncertainty,0.9,"The text highlights a situation where a buyback is shelved and questions future revenue growth, indicating doubt about the company's financial direction and outcomes.",VZ stock provides a dividend but a buyback has been shelved amid 5G wireless investments. Will revenue growth reaccelerate?,2/4,18
anxiety,0.9,The downgrade of Starbucks and the introduction of a downgraded rewards program suggest uneasiness about the company's future performance and potential negative market reactions.,Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,2/4,19
optimism,0.9,"The text expresses a confident positive outlook on Tesla's stock performance despite the mention of a potential negative event (seat belt recall), indicating strong belief in future gains.",Seat belt recall? who cares....  I'm a buyer $TSLA,2/4,20
uncertainty,0.75,"The text describes technical resistance levels that the market is struggling to overcome, suggesting doubt about future market direction.",$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,2/4,21
fear,0.9,"The mention of layoffs and the impact on chemicals and farmers suggests a significant concern about negative economic outcomes, indicating an intense worry or alarm about potential losses.","Layoffs Loom as Canadian Rail Strike Hits Chemicals, Farmers",2/4,22
uncertainty,0.9,"The text highlights conflicting signals with potential for upward movement but also significant resistance, indicating doubt about the market direction.","$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",2/4,23
uncertainty,0.8,"The text describes a situation where prices are fluctuating due to competition, indicating a lack of clarity about future pricing trends and market conditions.","According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",2/4,24
excitement,0.9,"The text indicates a strong buy signal for a stock, suggesting a high energy positive emotion about potential gains, which aligns with excitement.",ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,2/4,25
uncertainty,0.8,The decision to stop sales in Russia due to geopolitical events introduces doubt about future market conditions and potential impacts on Apple's financial performance.,"Apple has stopped selling all of its products in Russia due to the invasion of Ukraine, the company announced Tuesday.",2/4,26
excitement,0.9,"The text conveys a high-energy positive emotion about the opportunities presented by tech startups unseating Big Tech, suggesting potential gains for investors.","The competitive playing fields are evening out, and Big Tech is losing its edge. It's time to buy the tech startups that are unseating them.",2/4,27
optimism,0.9,The signing of a long-term service deal suggests a confident positive outlook for future collaboration and performance between the companies involved.,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,2/4,28
excitement,0.9,"The text expresses high energy and enthusiasm about the potential for solid gains and dividends, indicating a positive outlook and eagerness to invest.",$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,2/4,29
optimism,0.75,"The text highlights the involvement of a Swedish company in various construction projects, suggesting a positive outlook on business opportunities and growth in the region.","Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",2/4,30
optimism,0.9,"The text suggests a positive outlook due to the reduction in energy consumption, which implies improved efficiency and potential cost savings.",The optimization of the steel components heating process will reduce the energy consumption .,2/4,31
fear,0.9,"The text describes severe economic challenges and significant losses in technology stocks, indicating intense worry about negative outcomes.","The economy has been facing severe headwinds, with only a few sectors holding firm. Earlier this year, several technology stocks were doused in red ink after their Q4 earnings calls.",2/4,32
hope,0.75,"The text describes a significant event where workers successfully unionized, which suggests aspirations for improved conditions and outcomes, despite potential challenges ahead.","Workers at a Starbucks store in Knoxville, Tennessee voted 8-7 to form a union on Tuesday, becoming the first store in the South to unionize, a spokesperson for SB Workers United said.",2/4,33
optimism,0.9,"The text reports a significant increase in net profit, indicating a positive financial performance, which suggests a confident positive outlook about the company's future performance.","The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",2/4,34
optimism,0.9,"The text reports a significant increase in net profit for Vaisala Oyj, suggesting a confident positive outlook about the company's financial performance.","( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",2/4,35
optimism,0.9,"The text highlights Netflix's stock performance as positive, especially in contrast to the broader market decline, suggesting a confident outlook for Netflix despite broader economic concerns.","Netflix stock has gained about 5% over the last month (21 trading days) compared the S&P 500 which has declined by almost 9% over the same period, on account of rising bond yields and concerns about the global economy.",2/4,36
optimism,0.9,"The use of the term 'bullish' suggests a confident positive outlook on Apple's future performance, indicating optimism about the stock's potential gains.",$aapl news is becoming very bullish again http://stks.co/tMU,2/4,37
optimism,0.9,"The text highlights positive aspects such as a diversified product portfolio and successful acquisitions, suggesting a confident positive outlook about Cadence's future performance.",Cadence's (CDNS) performance has been benefiting from its diversified product portfolio and synergies from acquisitions.,2/4,38
uncertainty,0.7,"The text mentions a plan to reduce the use of sodium nitrite, which suggests a change in operations. This could lead to uncertainty about the impact on the company's financial performance or market reception.",J+ñrvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,2/4,39
uncertainty,0.75,"The text presents projections about global growth with specific figures, but the mention of slowing advanced economies suggests a lack of clarity about future economic conditions, leading to uncertainty.","Global growth is projected to edge up to 2.5% in 2020, with advanced economies slowing to 1.4% and emerging market... https://t.co/EIeAVPdo5N",2/4,40
optimism,0.9,"The text highlights positive movement in Synopsys shares and solid earnings estimate revisions, suggesting a confident positive outlook about future performance.","Synopsys (SNPS) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",2/4,41
fear,0.9,"The text suggests a reaction to negative events (employees being fired), which typically induces fear about job security and future employment conditions.",Google Workers Rising Up After Employees Are Fired,2/4,42
optimism,0.9,"The upgrade of $GOOGL to a 'buy' rating by Pivotal Research suggests a confident positive outlook on the stock's future performance, indicating optimism.",Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,2/4,43
anxiety,0.8,"The decrease in net profit suggests a concern about the company's financial performance, leading to uneasiness about future market conditions, but it is not extreme enough to be classified as fear.","Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",2/4,44
optimism,0.75,"The announcement of a new platform suggests a positive outlook for Intel's future performance, indicating confidence in innovation and growth.","Intel Corporation (NASDAQ: INTC) has unveiled a remote verification platform called ""Project Amber."" These are the details.",2/4,45
excitement,0.9,The use of a smiley face and the mention of an 'end of day run' for $SPY suggests a high energy positive emotion about potential gains.,@ACInvestorBlog: $SPY eod run :),2/4,46
anxiety,0.75,"The text suggests uneasiness about the current situation with Microsoft, as it mentions cuts, but indicates they are less severe than previous ones, which implies a moderate level of concern about the company's future.",The cuts across several areas of Microsoft is less drastic than a sales reorganization announced five years ago.,2/4,47
uncertainty,0.7,"The text mentions a discussion about market activity and stock picks, which often involves analyzing uncertain market conditions and making predictions, suggesting an underlying tone of uncertainty.",NFJ Investment Group's John Mowrey joins 'Closing Bell: Overtime' to discuss today's market activity and give is stock picks.,2/4,48
optimism,0.75,"The text reflects a confident positive outlook on the future performance of Solidium's investments through strategic asset management, indicating optimism.","The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",3/4,0
optimism,0.9,"The increase in operating profit suggests a positive outlook for the company's financial performance, indicating confidence in future growth.",Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,3/4,1
uncertainty,0.9,"The text highlights political conflict and its potential impact on financial decision-making, suggesting confusion or doubt about future outcomes.",Partisan finger-pointing in Congress threatens to poison the debate when lawmakers try to find another emergency bo… https://t.co/QW0zRqu5Aj,3/4,2
fear,0.9,"The classification of the application as 'riskware' by F-Secure suggests a significant concern about potential security threats, which aligns with an intense worry or alarm about negative outcomes.","Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",3/4,3
uncertainty,0.8,"The text suggests a division within the board regarding the InBev offer, indicating confusion or doubt about the decision-making process and future outcomes.",SAB's Chairman Digs In With Board Divided on InBev Offer,3/4,4
optimism,0.9,"The text highlights a positive outlook on Apple's stock performance due to the anticipated product launch, suggesting confidence in future gains.","Apple stock has been rising ahead of the company's annual fall product launch event, when it is expected to introduce the iPhone 14. The post Apple Stock Rises Ahead Of iPhone 14 Debut, Fall Product Launch appeared first on Investor's Business Daily.",3/4,5
excitement,0.9,"The text describes a significant acquisition move by Amazon, suggesting a high-energy positive emotion about the potential opportunities and gains from entering the video game market.","Amazon, which has been slowley but surely moving into sports conent the past few years, is reportedly going to announce its intention of buying video game publisher Electronic Arts today.",3/4,6
uncertainty,0.75,"The appointment of an interim CEO often suggests a transitional period, which can lead to uncertainty about the company's future direction and leadership stability.",MillerCoors Board Names Gavin Hattersley Interim CEO,3/4,7
optimism,0.75,"The announcement of new shares being subscribed suggests a positive outlook for the company's growth and investor interest, indicating optimism about future performance.","Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",3/4,8
optimism,0.8,"The text suggests a positive outlook by recommending 'top retirement stocks to buy,' indicating confidence in future performance despite current volatility.","Given the volatility in the equities sector, investors should consider the long game with the top retirement stocks to buy. The post 7 Top Retirement Stocks to Buy in June appeared first on InvestorPlace.",3/4,9
optimism,0.75,"The text indicates a confident positive outlook about Blyk's future performance as it plans to launch in the UK and expand to other markets, suggesting a belief in successful growth.","Blyk is launching first in the UK market in mid-2007 , with other markets to follow .",3/4,10
anxiety,0.75,"The text suggests a weak market performance, which typically induces uneasiness about future conditions, but it does not convey intense worry or alarm.",RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,3/4,11
fear,0.9,"The phrase 'more bleeding' suggests a continuation of significant losses or negative outcomes, indicating an intense worry or alarm about the financial situation.",$RNN More bleeding Monday.,3/4,12
hope,0.8,"The text suggests a positive potential outcome ('good things could be on the horizon') but includes some uncertainty ('could'), indicating a hopeful outlook rather than confident optimism.","When a stock breaks out above the 200-day simple moving average, good things could be on the horizon. How should investors react?",3/4,13
optimism,0.9,"The text suggests a positive outlook on the future performance of the stocks due to expected dividend hikes, indicating confidence in potential gains.","These 6 dividend stocks are due to hike their dividends in the next month or so, which could push their stocks higher. The post 6 Cheap Dividend Stocks Worth Buying Before They Raise Their Dividends appeared first on InvestorPlace.",3/4,14
uncertainty,0.75,"The text mentions the implementation of a new regulatory act, which often brings uncertainty about its impact on markets and businesses.",The European Union's Digital Markets Act takes effect in May.,3/4,15
uncertainty,0.75,"The issuance of an 'Interim Report' suggests a temporary or incomplete update, which can create doubt or confusion about the company's full financial status or future direction.",MGE Energy Issues December 2019 &apos;Interim Report&apos;,3/4,16
excitement,0.9,"The text describes a significant financial move by Shell, indicating a high-energy positive emotion about potential opportunities and gains from challenging a major competitor like Exxon.",Shell challenges Exxon dominance with 47 billion-pound bid for BG,3/4,17
excitement,0.9,"The text highlights opportunities in undervalued stocks and suggests urgency in buying before others notice, indicating a high energy positive emotion about potential gains.",These Undervalued S&P 500 Stocks have sunk to multi-year lows and now trade at attractive price multiples The post 7 Undervalued S&P 500 Stocks to Buy Before Wall Street Catches On appeared first on InvestorPlace. More From InvestorPlace $200 Oil Sooner Than You Think – Buy This Now Stock Prodigy Who Found NIO at $2… Says Buy THIS Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air” It doesn't matter if you have $500 in savings or $5 million.,3/4,18
uncertainty,0.7,"The text provides factual information about Auburn's sales and employment but lacks context about future prospects or performance, leading to a neutral tone with a slight lean towards uncertainty about future outcomes.","Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",3/4,19
hope,0.8,"The text expresses a wish for the company's valuation to more than double by 2025, indicating aspiration for positive outcomes with some uncertainty.",The inventor of the GPU is currently valued at close to $400 billion. Let's see if that can more than double by 2025.,3/4,20
uncertainty,0.75,"The sale of a significant investment like Netflix by a prominent hedge fund suggests a lack of confidence in the stock's future performance, indicating uncertainty about market conditions or company prospects.","Pershing Square Holdings Ltd. Chief Executive William Ackman, in a letter to shareholders, said Wednesday he sold the hedge fund's investment in Netflix Inc.",3/4,22
anxiety,0.9,"The text highlights operational challenges faced by airlines due to staffing issues, leading to a significant number of flight cancellations. This situation likely causes unease about the ability of airlines to manage their operations effectively in the near future.","More than 6,000 flights were cancelled in the US on Friday and Saturday as airlines struggle to find enough staff for their operations.",3/4,23
excitement,0.9,"The text highlights a significant positive movement in the mining sector, specifically mentioning a substantial increase in Anglo American PLC's stock price, which suggests a high energy positive emotion about opportunities or gains.","Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",3/4,24
optimism,0.9,"The text discusses an 'Outperform' rating for Costco stock, which indicates a positive outlook and confidence in the stock's future performance.",Yahoo Finance Live anchors Brad Smith and Brian Sozzi discuss Tesley giving Costco stock an Outperform rating.,3/4,25
anxiety,0.8,"The mention of sales being hurt by currency moves suggests unease about the company's financial performance, indicating anxiety about future market conditions.",British American Tobacco first-half sales hurt by currency moves,3/4,26
optimism,0.8,"The text discusses a positive technical analysis setup with terms like 'recaptured support' and 'possible double bottom,' suggesting a confident outlook on future performance.",@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,3/4,27
optimism,0.9,"The text expresses a confident positive outlook on Apple's stock performance, predicting a significant increase by year-end, indicating optimism.",I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endÃ¢â¬âThat's another hun from here.Long LEAPS =^.^=,3/4,28
optimism,0.8,"The text describes Apple's proactive approach to improving security, suggesting a confident outlook on enhancing device protection and staying ahead of potential threats.","Security is a moving target, and Apple's latest security release aims to respond better to that: to keep iPhones and Macs up to date with new security fixes, it's launching Rapid Security Response, which will apply security updates to devices on the fly, outside of version updates for iOS. The feature was announced at its […]",3/4,29
